contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,"Water, Wonen en Natuur",Werk aan Water,CDA,Algemene Waterschapspartij,VVD,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Gemeentehuis,Harmen Visserplein 1",0171::SB1,,1407,814,16,8,0,0,0,763,75,0,0,0,0,0,0,838,226,134,133,32,92,91,51,55
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Kerkcentrum de Ontmoeting, Europalaan 42",0171::SB2,,1318,737,15,8,0,0,0,709,51,0,0,0,0,0,0,760,215,105,95,29,63,144,51,35
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Gymzaal Erven Oost, Espelerlaan 71",0171::SB3,,1389,419,4,1,0,3,0,364,57,0,0,3,0,0,0,421,71,77,60,14,81,73,33,10
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Bosbadhal, Boslaan 28",0171::SB4,,1050,470,11,2,0,0,0,422,61,0,0,0,0,0,0,483,100,98,97,12,87,38,19,19
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Verz.huis de Golfslag Smedingplein 2,0171::SB5,,1331,727,20,2,0,0,0,688,61,0,0,0,0,0,0,749,186,191,113,29,94,50,18,46
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Woonzorg Hof van Smeden,Smeden 5",0171::SB6,,1313,660,17,4,0,0,0,628,54,0,1,0,1,0,0,682,159,130,154,34,58,64,25,36
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Buurthuis Revelsant, Pallasstraat 65 A",0171::SB7,,1808,554,9,6,0,0,0,543,26,0,0,0,0,0,0,569,179,74,74,41,43,62,32,49
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Dienstencentr. Wittesteijn,Revelsant 80",0171::SB8,,1563,604,8,3,0,0,0,580,35,0,0,0,0,0,0,615,138,109,98,35,52,85,53,34
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Buurth.Espelervaart, Atlantischestr. 18",0171::SB9,,1936,1089,19,11,0,0,0,1008,109,0,0,2,0,2,0,1117,272,174,149,43,126,212,63,50
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Buurthuis de Brulboei, Markenstraat 1",0171::SB10,,1372,686,15,2,0,1,0,639,66,0,1,0,2,0,0,705,196,120,102,43,57,90,29,49
