contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Ons Water,West-Brabant Waterbreed,VVD,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,50PLUS
Brabantse Delta,Rucphen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Centrum voor wonen&zorg Kerkakkers,0840::SB1,4715HE,1813,527,2,11,0,0,0,471,68,0,0,0,0,0,0,539,125,32,50,100,139,26,15,40
Brabantse Delta,Rucphen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Gemeenschapshuis de Vaart,0840::SB2,4715AH,1897,764,22,12,0,0,0,705,91,0,0,0,0,0,0,798,157,58,75,137,174,51,23,89
Brabantse Delta,Rucphen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Gemeenschapshuis d'n Hoge Dries,0840::SB3,4721AC,1340,540,8,1,0,0,0,473,76,0,0,0,0,0,0,549,148,47,44,142,87,18,8,46
Brabantse Delta,Rucphen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Centrum Jeugd en Gezin,0840::SB4,4714AB,1926,610,18,3,0,0,0,536,95,0,0,0,0,0,0,631,78,45,85,158,121,38,18,67
Brabantse Delta,Rucphen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Dorpshuis de Trapkes,0840::SB5,4714BZ,2081,758,19,1,0,2,0,656,124,0,0,0,2,0,0,780,162,48,77,224,124,38,18,67
Brabantse Delta,Rucphen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Sportpark Rood-Wit,0840::SB6,4711AV,2062,504,13,1,0,0,0,428,90,0,0,0,0,0,0,518,70,26,74,123,86,40,7,78
Brabantse Delta,Rucphen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Zorgcentrum de Vlegter/Kim,0840::SB7,4711EH,2190,662,14,12,0,2,0,570,116,0,0,2,0,0,0,686,80,25,81,176,102,60,28,110
Brabantse Delta,Rucphen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Zaal 't Pleintje,0840::SB8,4711JR,2142,534,13,3,0,0,0,419,131,0,0,0,0,0,0,550,47,29,78,174,45,52,13,96
Brabantse Delta,Rucphen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Gemeentehuis,0840::SB9,4715RW,1541,462,10,3,0,0,0,384,91,0,0,0,0,0,0,475,61,24,47,119,124,28,15,44
Brabantse Delta,Rucphen,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Steunpunt Mariavaart,0840::SB10,4735AT,1656,577,11,3,0,1,0,522,70,0,0,0,1,0,0,592,86,57,45,185,97,23,15,69
