contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,VVD,ChristenUnie,Algemene Waterschapspartij,Partij voor de Dieren,50PLUS
Hunze en Aa's,Slochteren,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau 't Olderloug te Slochteren,0040::SB1,,1595,906,12,4,0,0,1,827,94,0,0,0,0,0,0,922,157,103,109,106,256,59,68,48
Hunze en Aa's,Slochteren,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau De Meent te Schildwolde,0040::SB2,,1410,690,14,5,0,0,0,638,71,0,0,0,0,0,0,709,137,50,78,101,209,40,41,34
Hunze en Aa's,Slochteren,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Ufkenshuis te Siddeburen,0040::SB3,,1593,745,20,4,0,1,0,694,74,0,0,1,0,0,0,768,163,66,204,98,69,39,61,45
Hunze en Aa's,Slochteren,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Plaaisterploats te Tjuchem,0040::SB4,,404,203,4,0,0,0,0,182,25,0,0,0,0,0,0,207,60,24,32,30,8,10,25,14
Hunze en Aa's,Slochteren,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau De Pompel te Overschild,0040::SB5,,487,246,5,0,0,0,0,224,27,0,0,0,0,0,0,251,63,25,33,38,25,25,31,6
Hunze en Aa's,Slochteren,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau De Borgatee te Harkstede,0040::SB6,,1056,875,11,8,0,0,0,803,91,0,0,0,0,0,0,894,266,138,86,110,100,68,70,37
Hunze en Aa's,Slochteren,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Mainschoar te Kolham,0040::SB7,,1102,565,9,8,0,0,0,530,53,0,0,0,1,0,1,583,153,90,51,85,40,43,42,61
Hunze en Aa's,Slochteren,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Ruitenvelder te Froombosch,0040::SB8,,893,424,18,2,0,0,0,401,38,0,0,5,0,5,0,439,119,61,65,46,34,34,29,36
Hunze en Aa's,Slochteren,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Rehoboth te Siddeburen,0040::SB9,,1419,696,17,4,0,0,0,635,82,0,0,0,0,0,0,717,185,67,180,86,61,39,38,40
Hunze en Aa's,Slochteren,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Scharmerhoeve te Scharmer,0040::SB10,,1380,515,8,2,0,0,2,443,80,0,0,0,0,0,0,525,154,75,60,93,28,29,48,28
Hunze en Aa's,Slochteren,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau De Graankorrel te Harkstede,0040::SB11,,917,468,8,0,0,0,0,414,61,0,0,1,0,1,0,475,99,87,48,77,51,43,44,19
