contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Parkstad,Waterbelang Westelijke Mijnstreek,Water Natuurlijk,Waterbelang Heuvelland,Waterbelang Maastricht,Waterbelang Midden-Limburg,VVD,50PLUS
Roer en Overmaas,Valkenburg aan de Geul,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Stadhuis Park Dersaborg,0994::SB1,6301 HC,1431,643,7,38,0,0,2,596,90,0,0,0,0,0,0,688,55,10,83,388,25,4,44,34
Roer en Overmaas,Valkenburg aan de Geul,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau De Polfermolen,0994::SB2,6301 GM,1109,311,26,7,0,0,0,309,35,0,0,0,0,0,0,344,30,3,27,193,12,1,31,14
Roer en Overmaas,Valkenburg aan de Geul,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zorgcentrum Oosterbeemd,0994::SB3,6301 ZZ,1340,550,23,12,0,0,0,515,70,0,0,0,0,0,0,585,52,12,39,354,34,5,46,8
Roer en Overmaas,Valkenburg aan de Geul,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Hotel Op de Boud,0994::SB4,6301 XX,1422,511,18,6,0,0,0,469,66,0,0,0,0,0,0,535,82,14,53,297,14,4,29,18
Roer en Overmaas,Valkenburg aan de Geul,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis De Beemde,0994::SB5,6301 WJ,1169,473,10,27,0,0,0,467,43,0,0,0,0,0,0,510,36,3,59,307,20,0,29,19
Roer en Overmaas,Valkenburg aan de Geul,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis De Blokhut,0994::SB6,6301 AT,1044,476,8,29,0,0,0,454,59,0,0,0,0,0,0,513,43,5,61,318,16,3,14,16
Roer en Overmaas,Valkenburg aan de Geul,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau De Holle Eik,0994::SB7,6301 JZ,1307,584,10,6,0,0,71,529,0,0,0,0,0,0,0,600,45,22,44,392,19,4,38,20
Roer en Overmaas,Valkenburg aan de Geul,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis 't Geboew,0994::SB8,6305 AZ,1370,670,40,9,0,0,0,658,61,0,0,0,0,0,0,719,51,11,78,462,14,2,37,15
Roer en Overmaas,Valkenburg aan de Geul,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis 't Voske,0994::SB9,6325 EC,1832,918,11,48,0,0,0,881,96,0,0,0,0,0,0,977,50,6,119,465,200,5,39,34
Roer en Overmaas,Valkenburg aan de Geul,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zorgcentrum Fonterhof,0994::SB10,6325 BR,1014,468,25,5,0,0,0,440,60,0,2,0,2,0,0,500,48,3,29,282,70,1,14,21
Roer en Overmaas,Valkenburg aan de Geul,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis Cascade Vilt,0994::SB11,6325 AX,745,357,21,1,0,0,0,332,47,0,0,0,0,0,0,379,28,2,49,199,37,3,24,15
Roer en Overmaas,Valkenburg aan de Geul,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau mobiel,0994::SB12,,300,103,7,0,0,0,0,100,10,0,0,0,0,0,0,110,9,5,15,55,8,3,0,8
