contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Lokale Regiobelangen Rivierenland,Algemene Waterschapspartij,Staatkundig Gereformeerde Partij (SGP),VVD,ChristenUnie,Huiseigenaren,Partij voor de Dieren,PSP'92 Rivierenland,50PLUS
Rivierenland,Woudrichem,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Gemeentehuis Woudrichem,0874::SB1,4285 CP,1343,913,14,10,0,0,0,835,102,0,0,0,0,0,0,937,240,82,95,104,40,21,115,101,37,32,5,41
Rivierenland,Woudrichem,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau De Veste,0874::SB2,4285 AG,1260,348,12,4,0,0,0,331,33,0,0,0,0,0,0,364,59,41,50,33,16,14,52,29,17,19,8,10
Rivierenland,Woudrichem,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau 't Verlaat Almkerk,0874::SB3,4286 DB,1518,743,12,8,0,0,0,669,94,0,0,0,0,0,0,763,290,44,37,50,18,32,75,106,51,24,1,15
Rivierenland,Woudrichem,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Wapen van Emmickhoven,0874::SB4,4286 AX,1300,612,11,0,0,0,0,542,81,0,0,0,0,0,0,623,245,32,20,30,23,30,32,126,36,32,1,5
Rivierenland,Woudrichem,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Herv.Centr.De Ark,0874::SB5,4281 LH,1030,545,7,2,0,2,0,486,70,0,0,0,2,0,0,556,132,30,20,20,21,84,34,153,18,17,7,9
Rivierenland,Woudrichem,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Verpleeghuis de Notenhoff,0874::SB6,4281 PN,806,411,3,4,0,0,0,379,39,0,0,0,0,0,0,418,147,18,9,13,6,44,40,113,11,7,1,2
Rivierenland,Woudrichem,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau openbare bibliotheek,0874::SB7,4283 GM,1185,561,11,1,0,0,0,511,60,0,0,2,0,2,0,571,161,25,21,31,18,54,34,169,20,17,0,11
Rivierenland,Woudrichem,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Het Brabantse Land,0874::SB8,4284 EA,1330,536,12,6,0,0,0,492,62,0,0,0,0,0,0,554,177,36,34,38,13,30,49,113,15,17,0,14
Rivierenland,Woudrichem,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Gemeentecentrum De Hoogt,0874::SB9,4288 JJ,489,311,4,1,0,0,0,272,44,0,0,0,0,0,0,316,105,10,11,23,1,20,25,95,7,8,1,5
Rivierenland,Woudrichem,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau OVO Verenigingsgebouw,0874::SB10,4285 WL,1029,251,5,0,0,0,0,226,30,0,0,0,0,0,0,256,78,23,21,28,14,2,36,22,5,19,0,3
