contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,ChristenUnie,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Staatkundig Gereformeerde Partij (SGP),Lokaal Waterbeheer,AWP niet politiek wel deskundig,50PLUS,Verenigde Senioren Partij
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Oude Stadhuis,0307::SB1,,841,934,29,7,0,1,0,896,73,0,1,0,0,0,969,136,70,98,230,169,5,51,119,50,6
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Ichtuskerk,0307::SB2,,1440,806,12,1,0,0,0,733,86,0,0,0,0,0,819,150,99,78,171,128,9,46,88,31,6
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau De Gerfkamer,0307::SB3,,1117,808,19,4,2,0,0,780,49,0,2,0,0,0,829,118,55,56,229,137,8,45,125,34,1
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Armen de Poth,0307::SB4,,1537,800,20,1,0,0,1,762,58,0,0,0,0,0,821,111,54,64,218,143,13,43,116,34,4
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Het Eemhuis,0307::SB5,,1476,918,30,5,0,0,0,887,66,0,0,0,0,0,953,140,64,98,239,159,8,45,130,32,3
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Schoolgebouw de Vlindervallei,0307::SB6,,1582,854,49,17,0,1,0,848,73,0,0,1,0,0,921,74,56,66,205,179,19,68,104,75,8
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Adventkerk,0307::SB7,,1691,599,41,7,0,0,0,569,78,0,0,0,0,0,647,57,52,61,117,135,14,50,50,57,6
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau De Schaapskooi,0307::SB8,,1809,619,26,7,0,0,0,584,68,0,0,0,0,0,652,74,47,82,98,141,10,53,63,41,10
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Schoolgebouw de Baander,0307::SB9,,1192,476,38,6,0,0,0,462,58,0,0,0,0,0,520,45,48,58,89,75,23,36,61,37,4
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau De Bron 1,0307::SB10,,1411,607,38,5,0,0,0,613,36,0,1,0,1,0,649,48,61,80,115,113,13,41,65,60,11
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau De Bron 2,0307::SB11,,1541,700,23,7,0,0,0,676,54,0,0,0,0,0,730,73,61,91,142,139,23,50,59,57,5
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Zwembad Amarena,0307::SB12,,1680,610,23,8,0,0,0,595,46,0,0,0,0,0,641,64,55,58,118,117,15,46,74,53,10
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Sporthal Rustenburg,0307::SB13,,1194,589,39,3,0,1,0,572,60,0,0,1,0,0,632,63,39,62,122,97,16,42,77,62,9
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Burgemeester Molendijkflat,0307::SB14,,1328,843,8,9,0,0,0,805,55,0,0,0,0,0,860,124,93,129,145,105,26,55,69,87,10
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Undineflat,0307::SB15,,942,350,23,1,0,0,0,343,31,0,0,0,0,0,374,33,48,46,71,56,9,23,24,35,5
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau ABC School Het Scala,0307::SB16,,1175,432,45,1,0,0,0,430,50,2,0,2,0,0,480,35,33,39,93,129,9,37,25,25,7
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau De Schuilenburght,0307::SB17,,966,632,15,2,0,0,0,607,42,0,0,0,0,0,649,128,90,82,97,86,15,33,59,35,7
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Prins Willem III- flat,0307::SB18,,1456,683,27,4,0,0,0,714,0,0,0,0,0,0,714,82,57,78,149,123,20,38,74,54,8
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Kerkgebouw De Kandelaar,0307::SB19,,1602,946,18,1,0,0,0,872,93,0,0,0,0,0,965,118,82,131,236,152,18,46,112,48,3
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Woon- en zorgcentrum Nijenstede,0307::SB20,,1504,720,22,3,0,1,0,682,64,0,0,1,0,0,746,83,80,76,152,121,18,42,89,47,12
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Wijkcentrum Het Klokhuis,0307::SB21,,1700,863,24,2,0,0,0,801,88,0,0,0,0,0,889,107,75,109,145,184,25,66,95,51,6
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau De Eemgaarde,0307::SB22,,691,427,5,1,0,0,0,405,28,0,0,0,0,0,433,77,47,51,88,54,26,20,23,34,7
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Schoolgebouw Guido de Bres,0307::SB23,,1682,1164,28,4,0,0,0,1070,126,0,0,0,0,0,1196,130,111,102,317,201,13,69,156,57,8
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Corderiuscollege,0307::SB24,,1529,774,37,6,0,0,0,725,92,0,0,0,0,0,817,127,65,90,158,150,13,43,101,25,2
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Seniorenflat Otto Scheltus,0307::SB25,,1553,595,16,7,0,0,0,576,42,0,0,0,0,0,618,116,58,36,112,108,13,42,71,35,4
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Martuskerk,0307::SB26,,687,681,13,0,0,0,0,623,71,0,0,0,0,0,694,110,40,111,135,92,19,33,113,26,2
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Elimkerk,0307::SB27,,1388,683,15,3,0,0,0,696,5,0,0,0,0,0,701,95,54,81,161,89,30,49,92,28,4
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Fontijnkerk,0307::SB28,,1099,837,23,3,0,0,0,790,73,0,0,0,0,0,863,149,105,96,223,98,14,32,91,27,2
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Sporthal Juliana van Stolberg,0307::SB29,,1498,893,21,0,0,1,0,842,71,0,1,0,0,0,913,106,86,90,219,152,27,51,101,56,5
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau MBO Leusderweg,0307::SB30,,1169,459,21,1,0,0,0,433,48,0,0,0,0,0,481,34,29,52,111,100,10,33,51,38,1
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau St. Ansfriduskerk,0307::SB31,,1650,974,15,1,0,1,0,896,95,0,0,1,0,0,991,163,87,85,253,150,20,42,136,33,5
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Gymzaal Lyceum De Amersfoortse Berg,0307::SB32,,1530,937,16,2,0,0,0,865,90,0,0,0,0,0,955,171,77,68,242,136,10,66,117,39,11
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Zon en Schild,0307::SB33,,480,172,4,0,0,0,0,168,8,0,0,0,0,0,176,27,22,18,28,38,5,9,12,10,3
Vallei en Veluwe,Amersfoort,AB2019_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2019,7,Vallei en Veluwe,2019-03-20,Stembureau Zorgcentrum De Lichtenberg,0307::SB34,,323,121,4,0,0,0,0,115,10,0,0,0,0,0,125,23,22,14,19,15,4,5,11,8,0
