contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),AWP niet politiek wel deskundig,Partij voor de Dieren,ChristenUnie-SGP,50PLUS,Trots op Nederland (TROTS)
Rijnland,Bloemendaal,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Gemeentehuis,0377::SB1,2051 GJ,1753,1195,9,6,0,0,0,1062,148,0,0,0,0,0,1210,403,129,142,178,114,167,31,26,5
Rijnland,Bloemendaal,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Centrum voor Jeugd en Gezin,0377::SB2,2061 HW,1212,727,10,4,0,7,0,664,84,0,0,7,0,0,748,188,68,112,104,62,120,19,46,8
Rijnland,Bloemendaal,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Kerkelijk Centrum,0377::SB3,2061 JD,1609,880,6,2,0,2,1,807,82,0,0,2,0,0,890,258,127,122,108,92,98,37,36,2
Rijnland,Bloemendaal,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Woonzorgcentrum De Rijp,0377::SB4,2061 SC,1840,1166,9,1,0,2,3,1054,121,0,0,2,0,0,1178,393,154,148,146,109,130,35,40,11
Rijnland,Bloemendaal,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Bloemendaalse Schoolvereniging,0377::SB5,2061 BB,512,454,3,1,0,1,0,396,61,0,1,0,0,0,457,228,47,47,30,39,53,4,6,0
Rijnland,Bloemendaal,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Gebouw Tinholt,0377::SB6,2051 LA,1570,1109,0,0,0,0,0,1109,0,0,0,0,0,0,1109,298,94,204,180,104,157,46,21,5
Rijnland,Bloemendaal,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Vondelschool,0377::SB7,2111 CJ,1186,929,7,2,0,0,0,845,93,0,0,0,0,0,938,383,98,108,97,85,100,17,37,4
Rijnland,Bloemendaal,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau De Nieuwe Kring,0377::SB8,2111 AS,1223,810,8,3,0,0,0,711,110,0,0,0,0,0,821,341,98,98,70,73,82,34,11,3
Rijnland,Bloemendaal,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Adventskerk,0377::SB9,2111 HA,1182,767,6,3,0,5,0,645,136,0,0,5,0,0,781,365,118,74,40,80,37,27,20,6
Rijnland,Bloemendaal,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau De Voghelsanck,0377::SB10,2114 ES,912,530,3,1,0,0,0,489,45,0,0,0,0,0,534,62,275,32,39,30,53,18,16,5
Rijnland,Bloemendaal,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Dorpshuis Vogelenzang,0377::SB11,2114 ER,894,597,2,2,2,0,0,547,56,0,0,2,0,0,603,71,239,69,72,36,54,20,26,10
Rijnland,Bloemendaal,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Sparrenbosschool,0377::SB12,2121 CJ,1025,578,6,1,0,0,0,528,57,0,0,0,0,0,585,227,95,50,44,52,55,24,25,6
Rijnland,Bloemendaal,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Het Trefpunt,0377::SB13,2121 AJ,1192,750,0,0,0,0,0,710,40,0,0,0,0,0,750,191,133,72,96,65,94,45,46,8
Rijnland,Bloemendaal,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Jagershuis,0377::SB14,2121 GW,1024,439,5,3,0,1,0,412,34,0,1,0,0,0,446,99,78,56,56,37,62,12,32,7
Rijnland,Bloemendaal,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Centraal Servicepunt Bennebroek,0377::SB15,2121 VE,1076,809,12,3,0,0,0,761,63,0,0,0,0,0,824,176,154,107,117,53,96,41,57,8
