contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Waterbelang Venlo,Waterbelang Midden-Limburg,Waterbelang Heuvelland,Waterbelang Land van Weert + Leudal,Waterbelang Westelijke Mijnstreek,AWP niet politiek wel deskundig,Waterbelang Venray en Maasduinen,Waterbelang Horst-Helden-Beesel,Waterbelang Parkstad,Water Natuurlijk,Lokaal Limburg,Waterbelang Maastricht,50PLUS
Limburg,Brunssum,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau D'r Brikkeoave,0899::SB1,,1550,965,30,9,0,0,1,884,119,0,0,0,0,0,1004,236,9,14,23,4,66,22,6,3,375,69,81,8,49
Limburg,Brunssum,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Zwembad De Bronspot,0899::SB2,,1422,684,10,11,0,0,0,621,84,0,0,0,0,0,705,115,1,12,20,4,49,24,1,1,303,50,64,3,37
Limburg,Brunssum,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau zaal cafe De Kroeg,0899::SB3,,941,447,14,0,0,0,0,396,65,0,0,0,0,0,461,54,3,9,6,3,45,11,1,0,216,31,42,3,23
Limburg,Brunssum,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Verpleeghuis Schuttershof,0899::SB4,,1146,520,17,4,0,0,0,486,55,0,0,0,0,0,541,74,1,11,9,2,30,10,1,0,262,49,37,7,27
Limburg,Brunssum,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau BMV Bronsheim,0899::SB5,,1631,474,15,1,0,0,0,437,53,0,0,0,0,0,490,44,1,11,13,2,23,14,2,0,250,36,46,2,30
Limburg,Brunssum,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,"Stembureau Mijn, centrum voor medische zorg",0899::SB6,,1604,716,16,6,0,1,0,665,72,0,1,0,0,0,737,104,3,20,16,2,42,41,1,3,318,62,66,9,29
Limburg,Brunssum,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Café Rumpener Beemden,0899::SB7,,1213,472,17,2,0,0,0,436,55,0,0,0,0,0,491,86,1,9,13,0,27,8,1,1,225,46,32,5,18
Limburg,Brunssum,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Brede School Langeberg,0899::SB8,,1148,558,19,2,0,0,0,502,77,0,0,0,0,0,579,94,5,11,16,5,35,20,1,0,246,46,49,4,26
Limburg,Brunssum,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Verenigingsgebouw De Burcht,0899::SB9,,1250,660,5,2,0,0,2,582,83,0,0,0,0,0,667,76,5,16,10,5,45,13,1,1,340,55,56,2,35
Limburg,Brunssum,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Sporthal Brede School Treebeek,0899::SB10,,1975,1040,19,10,0,0,0,946,123,0,0,0,0,0,1069,120,9,12,19,7,67,33,2,0,528,86,98,8,51
Limburg,Brunssum,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Trefcentrum,0899::SB11,,1726,659,18,1,0,0,0,595,83,0,0,0,0,0,678,109,3,5,16,1,43,21,0,0,296,70,54,10,31
Limburg,Brunssum,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Zorgcentrum Emmastaete,0899::SB12,,2074,836,26,3,0,0,1,775,89,0,0,0,0,0,865,118,4,8,17,3,83,22,1,1,390,78,52,9,50
Limburg,Brunssum,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau BS De Caleidoscoop,0899::SB13,,2098,964,33,8,0,0,0,889,116,0,0,0,0,0,1005,175,3,22,28,7,56,27,2,0,422,93,89,6,34
Limburg,Brunssum,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Microhal Brunssum-Noord,0899::SB14,,2806,1189,48,8,1,0,2,1096,146,0,1,0,0,0,1244,137,13,17,34,8,81,29,4,2,570,84,110,8,92
Limburg,Brunssum,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Basisschool Titus Brandsma,0899::SB15,,1044,528,12,1,0,0,0,474,67,0,0,0,0,0,541,96,4,8,11,0,25,14,0,0,280,44,34,0,12
