contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),Vrienden van de Berkel,AWP niet politiek wel deskundig,50PLUS,Vereniging Dorpshuizen en Kleine Kernen
Rijn en IJssel,Doetinchem,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Stadhuis,0222::SB1,7001EW,1520,880,27,4,0,0,1,855,55,0,0,0,0,0,911,162,185,150,191,29,62,77,24
Rijn en IJssel,Doetinchem,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau De Pas,0222::SB2,7001GL,1678,775,21,3,0,0,0,737,62,0,0,0,0,0,799,135,180,154,151,35,44,62,14
Rijn en IJssel,Doetinchem,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau De Daele,0222::SB3,7002HC,1677,909,24,7,0,0,1,873,66,0,0,0,0,0,940,199,206,113,187,33,60,83,28
Rijn en IJssel,Doetinchem,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Het Trommelslag,0222::SB4,7002AZ,1637,679,16,2,0,0,0,657,40,0,0,0,0,0,697,136,128,79,142,38,54,72,30
Rijn en IJssel,Doetinchem,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau OBS Hogenkamp,0222::SB5,7002KA,1265,536,12,3,0,0,0,509,42,0,0,0,0,0,551,88,126,36,140,31,40,58,17
Rijn en IJssel,Doetinchem,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Schoneveld,0222::SB6,7003BK,1419,735,37,3,0,2,0,707,70,0,0,2,0,0,777,101,192,77,162,40,69,75,19
Rijn en IJssel,Doetinchem,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Schavenweide,0222::SB7,7003EB,1312,566,16,1,0,2,0,541,40,0,2,0,0,0,581,140,111,83,116,28,39,40,9
Rijn en IJssel,Doetinchem,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau Ondernemingscentrum,0222::SB8,7005BK,1498,461,6,3,0,0,0,429,41,0,0,0,0,0,470,93,106,74,86,27,31,35,9
Rijn en IJssel,Doetinchem,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau De Zonneboom,0222::SB9,7004EL,1431,874,32,3,0,0,81,828,0,0,0,0,0,0,909,168,180,173,150,44,63,67,29
Rijn en IJssel,Doetinchem,AB2019_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2019,8,Rijn en IJssel,2019-03-20,Stembureau IJzevoorde,0222::SB10,7004HT,607,369,3,1,0,0,0,335,38,0,0,0,0,0,373,128,65,93,18,10,25,11,19
