contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,VVD,Partij van de Arbeid (P.v.d.A.),50PLUS,Werken aan Water,AWP niet politiek wel deskundig,ChristenUnie,Ouderen Appèl - Hart voor Water
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau SCC Hofdael,1771::SB1,5664 HV,1739,777,27,5,0,1,0,739,69,0,1,0,0,0,808,235,145,86,88,90,35,51,18,29
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau Basisschool Dommeldal,1771::SB2,5662 HK,1397,819,28,1,0,0,0,741,107,0,0,0,0,0,848,298,99,106,127,68,46,33,20,22
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau Basisschool Dommeldal,1771::SB3,5662 HK,1595,616,11,3,0,0,0,563,67,0,0,0,0,0,630,214,79,93,106,45,29,21,14,15
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau Eenbes Basisschool St. Jozef,1771::SB4,5663 AH,1583,761,23,7,0,0,0,713,78,0,0,0,0,0,791,253,104,139,116,46,31,32,25,15
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau Gemeenschapshuis Zesgehuchten,1771::SB5,5663 AC,1537,1056,21,5,0,0,0,990,92,0,0,0,0,0,1082,363,165,141,158,89,32,32,40,36
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau Basisschool De Ganzebloem,1771::SB6,5663 SK,1393,863,35,1,0,0,0,810,89,0,0,0,0,0,899,273,131,145,120,62,33,56,19,24
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau Basisschool De Ganzebloem,1771::SB7,5663 SK,1361,659,24,2,0,0,0,635,48,0,2,0,2,0,683,197,89,123,99,50,28,36,11,26
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau Kastanjehof,1771::SB8,5664 RS,1816,860,18,2,0,0,1,811,68,0,0,0,0,0,880,280,143,96,104,108,39,33,21,36
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau Wijkcentrum de Dreef,1771::SB9,5665 VA,1516,805,34,1,0,0,0,769,71,0,0,0,0,0,840,277,73,51,126,129,44,49,25,31
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau Nuts Basisschool de Regenboog,1771::SB10,5665 VS,1568,588,18,7,0,0,0,561,53,1,0,1,0,0,614,226,67,39,72,77,39,30,14,24
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau Maison St. Cyr,1771::SB11,5665 SK,1435,553,12,3,0,0,0,527,41,0,0,0,0,0,568,186,49,36,88,102,26,26,17,23
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau Strabrecht College,1771::SB12,5666 BE,1443,624,21,0,0,0,1,582,62,0,0,0,0,0,645,186,95,95,77,65,30,38,25,13
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau DvO St. Jozefplein,1771::SB13,5666 RL,1587,538,25,2,0,1,0,518,48,0,0,1,0,0,566,162,64,44,79,87,33,32,21,16
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau DvO Kettingstraat,1771::SB14,5667 RG,1858,705,25,1,0,0,0,668,63,0,0,0,0,0,731,229,76,106,90,96,43,26,13,26
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau Basisschool 't Vijfblad,1771::SB15,5667 AH,1578,600,32,1,0,0,0,581,52,0,0,0,0,0,633,174,68,53,88,77,41,28,24,47
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,"Stembureau OBS 't Schrijverke, locatie Luchen",1771::SB16,5731 SP,2227,941,29,2,0,0,2,865,105,0,0,0,0,0,972,299,156,221,96,59,36,43,13,18
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau d'n Intheek,1771::SB17,5731 JH,554,383,19,3,0,2,0,367,40,0,0,2,0,0,407,143,59,58,33,47,14,16,3,10
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau Jongerencentrum Loesje,1771::SB18,5731 GR,9,28,0,0,0,0,0,21,7,0,0,0,0,0,28,3,5,4,4,7,2,3,0,0
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,"Stembureau Kindcentrum PuurSang, Locatie Lucia",1771::SB19,5731 LA,80,19,0,0,0,6,0,23,3,0,0,7,1,0,26,3,3,6,2,1,0,3,1,0
De Dommel,Geldrop-Mierlo,AB2019_DeDommel,Algemeen bestuur van het waterschap De Dommel 2019,19,De Dommel,2019-03-20,Stembureau Hof van Bethanië,1771::SB20,5731 EG,903,606,8,29,0,0,0,602,41,0,0,0,0,0,643,188,127,85,53,47,35,34,13,24
