contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,SGP-ChristenUnie,50PLUS,AWP niet politiek wel deskundig,Ons-Platteland
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Raadhuis,1931::SB1,2941 ES,1572,1089,13,0,0,2,0,1001,99,0,2,0,0,0,1100,180,162,108,67,92,80,50,350
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Het Schateiland,1931::SB2,2941 SE,1248,568,8,1,0,0,0,524,52,0,1,0,0,0,576,65,95,79,41,78,49,24,137
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau CBS  Eben-Haëzer,1931::SB3,2941 VE,1237,667,1,3,0,2,1,584,84,0,2,0,0,0,669,80,75,63,45,137,44,18,205
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau De Breeje Hendrick,1931::SB4,2941 TN,1073,642,10,0,0,1,0,598,55,0,0,1,0,0,653,92,99,75,43,71,43,17,202
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Ichthus Kerk,1931::SB5,2941 BM,1108,710,4,2,0,2,0,636,78,0,2,0,0,0,714,107,89,65,58,89,45,26,231
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Het Cultuurhuis,1931::SB6,2931 EC,1256,809,12,4,0,0,1,760,66,2,0,2,0,0,827,135,132,86,56,106,77,33,184
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Het Koetshuis,1931::SB7,2931 AG,1434,796,5,7,0,0,0,734,74,0,0,0,0,0,808,81,122,90,53,136,91,49,174
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Floraschool,1931::SB8,2931 RP,1383,822,9,5,0,1,0,776,61,0,0,1,0,0,837,112,158,77,51,99,90,48,187
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau De Dertienhuizen,1931::SB9,2931 XZ,1368,739,0,9,0,0,0,688,60,0,0,0,0,0,748,92,117,79,58,92,69,34,198
Schieland en de Krimpenerwaard,Krimpenerwaard,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Gemeentehuis,1931::SB10,2861 AH,1171,595,6,3,0,0,1,532,71,0,0,0,0,0,604,64,63,48,68,155,29,13,155
