contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Waterbelang Venlo,Waterbelang Midden-Limburg,Waterbelang Heuvelland,Waterbelang Land van Weert + Leudal,Waterbelang Westelijke Mijnstreek,AWP niet politiek wel deskundig,Waterbelang Venray en Maasduinen,Waterbelang Horst-Helden-Beesel,Waterbelang Parkstad,Water Natuurlijk,Lokaal Limburg,Waterbelang Maastricht,50PLUS
Limburg,Maasgouw,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Gemeentehuis,1641::SB1,6051 DZ,2131,1012,41,5,0,0,0,956,103,0,0,1,0,0,1059,77,10,532,8,11,11,32,4,4,15,84,120,17,87
Limburg,Maasgouw,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Basisschool 't Breerke,1641::SB2,6051 GG,2645,1055,25,14,0,0,0,976,118,0,0,0,0,0,1094,96,4,522,9,20,10,32,10,2,5,84,144,8,109
Limburg,Maasgouw,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Gemeenschapshuis Baekerhoes,1641::SB3,6051 JG,1079,591,13,1,0,0,0,548,57,0,0,0,0,0,605,57,4,343,3,7,10,20,3,0,0,55,62,3,24
Limburg,Maasgouw,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Sportzaal Linne,1641::SB4,6067 CG,1347,797,20,11,0,0,0,745,83,0,0,0,0,0,828,67,7,310,4,4,5,25,2,3,1,76,191,6,96
Limburg,Maasgouw,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Trefcentrum Stevensweert,1641::SB5,6107 BZ,1391,677,17,7,0,0,0,661,40,0,0,0,0,0,701,53,2,395,5,4,3,18,2,2,2,70,63,2,56
Limburg,Maasgouw,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Verenigingszaal Lakerhoes,1641::SB6,6109 AR,731,351,5,1,0,0,0,325,32,0,0,0,0,0,357,35,4,189,1,5,7,16,0,1,4,47,26,0,16
Limburg,Maasgouw,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Kantine BMV Sporthal Reutsdael,1641::SB7,6097 BH,1529,987,32,5,0,0,0,947,77,0,0,0,0,0,1024,72,6,531,17,83,6,30,5,3,4,97,78,2,53
Limburg,Maasgouw,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Proteion St. Jozef,1641::SB8,6019 AN,1713,746,29,3,0,0,0,702,73,0,3,0,0,0,775,43,2,429,5,26,9,10,1,2,1,56,82,3,77
Limburg,Maasgouw,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Gemeenschapshuis 't Leuke,1641::SB9,6099 AR,1490,761,28,2,0,0,0,726,65,0,0,0,0,0,791,44,9,475,6,53,3,12,0,0,1,59,60,4,35
Limburg,Maasgouw,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Proteion Sterrebosch,1641::SB10,6017 AL,2071,1001,50,6,0,0,0,942,115,0,0,0,0,0,1057,48,5,627,6,58,2,32,4,3,6,77,71,2,60
Limburg,Maasgouw,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Koraal locatie St. Anna,1641::SB11,6097 AH,2332,606,25,8,0,0,0,578,62,0,0,1,0,0,640,62,5,314,6,37,2,31,0,0,1,60,50,0,38
Limburg,Maasgouw,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stembureau Kantine TC Linne,1641::SB12,6067 JA,1730,725,14,5,0,0,1,676,68,0,0,1,0,0,745,57,6,278,5,12,11,9,6,1,1,40,148,7,144
