contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Ons Water,West-Brabant Waterbreed,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),50PLUS,AWP niet politiek wel deskundig,ChristenUnie,Partij voor de Dieren
Brabantse Delta,Moerdijk,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau De Westhoek,1709::SB1,4761 AJ,1160,568,5,3,0,0,1,520,55,0,0,0,0,0,576,95,73,78,101,27,66,41,21,23,43
Brabantse Delta,Moerdijk,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau De Zeven Schakels,1709::SB2,4761 BN,1187,544,14,7,0,0,0,512,51,0,2,0,2,0,563,85,70,92,69,32,68,46,21,13,48
Brabantse Delta,Moerdijk,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Kruisgebouw,1709::SB3,4761 KC,1454,497,8,0,0,0,0,466,39,0,0,0,0,0,505,59,42,77,84,47,63,53,13,21,38
Brabantse Delta,Moerdijk,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Pluspunt Serena,1709::SB4,4761 TW,1765,897,16,3,0,1,0,842,75,0,0,1,0,0,917,134,77,154,156,61,105,68,51,17,74
Brabantse Delta,Moerdijk,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau OBS de Boemerang,1709::SB5,4761 SB,1600,652,9,2,0,1,0,612,52,0,0,1,0,0,664,114,49,119,123,36,75,42,23,24,47
Brabantse Delta,Moerdijk,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Sportgezondheidscentrum Zevenbergen,1709::SB6,4761 KN,1609,536,9,4,0,0,0,496,52,0,1,0,1,0,548,71,45,94,87,34,68,58,23,13,43
Brabantse Delta,Moerdijk,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Sportplaza Moerdijk de Kristal,1709::SB7,4761 ZC,1640,1025,21,1,0,1,0,931,115,0,1,0,0,0,1046,253,66,163,161,75,84,84,51,26,62
Brabantse Delta,Moerdijk,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Stationsrestauratie Happy Dees,1709::SB8,4761 BG,1335,874,21,0,0,2,0,821,76,0,0,2,0,0,897,186,104,126,154,40,82,62,49,18,53
Brabantse Delta,Moerdijk,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Ons Stedeke,1709::SB9,4772 RA,720,352,2,2,0,0,0,323,33,0,0,0,0,0,356,46,45,62,85,19,27,31,5,3,29
Brabantse Delta,Moerdijk,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau De Zevensprong,1709::SB10,4765 CP,1305,594,5,3,0,0,0,536,64,0,2,0,2,0,600,70,50,150,103,45,39,61,13,13,50
Brabantse Delta,Moerdijk,AB2019_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2019,18,Brabantse Delta,2019-03-20,Stembureau Mauritshof,1709::SB11,4791 JR,1563,766,14,3,0,1,0,717,67,0,0,1,0,0,784,101,160,78,77,60,87,49,26,102,26
