contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Partij voor de Dieren,Waterschap@inwonersbelangen,ChristenUnie,"AWP niet politiek, wel deskundig",Staatkundig Gereformeerde Partij (SGP),50PLUS
De Stichtse Rijnlanden,Nieuwegein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau Stadshuis I,0356::SB1,3431 LZ,1614,676,17,4,0,0,2,640,55,0,0,0,0,0,697,143,90,52,97,75,63,26,56,11,63
De Stichtse Rijnlanden,Nieuwegein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau Stadshuis II,0356::SB2,3431 LZ,1470,734,17,5,0,0,1,697,58,0,0,0,0,0,756,138,97,74,112,70,61,41,52,8,81
De Stichtse Rijnlanden,Nieuwegein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau Obs de Schakel,0356::SB3,3431 AC,1951,675,23,3,0,2,0,626,73,0,2,0,0,0,699,136,46,76,99,79,77,32,32,7,91
De Stichtse Rijnlanden,Nieuwegein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau De Wenck,0356::SB4,3431 TC,1718,774,23,4,0,0,0,745,56,0,0,0,0,0,801,156,89,93,96,82,85,34,41,9,89
De Stichtse Rijnlanden,Nieuwegein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau K4N (Kledingbank),0356::SB5,3431 CG,1499,679,18,6,0,0,1,635,67,0,0,0,0,0,703,135,93,90,80,54,58,37,50,17,65
De Stichtse Rijnlanden,Nieuwegein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau Montessorischool De Vleugel,0356::SB6,3438 AG,1359,909,28,1,0,0,0,862,76,0,0,0,0,0,938,185,120,94,106,112,77,56,64,25,70
De Stichtse Rijnlanden,Nieuwegein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau RK basisschool Vroonestein I,0356::SB7,3438 RA,1197,619,1,7,0,0,0,566,62,1,0,1,0,0,628,152,73,55,88,62,59,38,28,9,55
De Stichtse Rijnlanden,Nieuwegein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau RK basisschool Vroonestein II,0356::SB8,3438 RA,1707,666,6,3,1,0,0,646,28,0,1,0,0,0,674,170,94,61,83,61,41,36,47,5,68
De Stichtse Rijnlanden,Nieuwegein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau MeetingDistrict,0356::SB9,3438 LC,2258,923,14,5,0,0,0,838,104,0,0,0,0,0,942,236,154,105,102,93,59,44,50,11,69
De Stichtse Rijnlanden,Nieuwegein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau ROC MN Veiligheid&Defensie College,0356::SB10,3437 WN,1563,660,7,0,0,0,0,601,66,0,0,0,0,0,667,133,92,66,62,74,51,29,45,13,95
De Stichtse Rijnlanden,Nieuwegein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau Kinderdagverblijf De Toverfluit,0356::SB11,3437 XB,1648,813,18,7,0,0,23,814,1,0,0,0,0,0,838,163,137,79,97,75,77,48,48,18,71
De Stichtse Rijnlanden,Nieuwegein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau Buurtplein Batau I,0356::SB12,3437 AA,1314,898,18,2,0,0,0,839,79,0,0,0,0,0,918,191,115,115,72,119,78,64,44,4,96
De Stichtse Rijnlanden,Nieuwegein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau Buurtplein Batau II,0356::SB13,3437 AA,1531,878,18,1,1,0,0,817,79,0,1,0,0,0,896,215,104,87,102,96,73,40,60,6,95
De Stichtse Rijnlanden,Nieuwegein,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau Openbare basisschool De Meander II,0356::SB14,3436 GE,1423,650,1,11,0,0,0,590,72,0,0,0,0,0,662,159,85,70,80,72,47,34,35,7,61
