contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,"AWPenLRR niet politiek, wel lokaal",Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,ChristenUnie,50PLUS
Rivierenland,Nijmegen,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Buurthuis Het Oude Weeshuis,0268::SB1,6511 WT,2333,1216,42,1,0,0,0,1180,79,0,0,0,0,0,1259,76,61,283,223,132,5,314,21,101
Rivierenland,Nijmegen,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Stadhuis,0268::SB2,6511 PP,2168,1316,42,5,0,1,0,1292,72,0,0,1,0,0,1364,121,40,350,252,137,3,340,17,56
Rivierenland,Nijmegen,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Stadswinkel,0268::SB3,6511 PS,2202,1418,59,6,0,8,0,1412,79,0,0,8,0,0,1491,152,59,307,258,217,6,348,30,41
Rivierenland,Nijmegen,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Titus Brandsma kapel,0268::SB4,6511 DW,1699,625,22,6,0,7,0,629,31,0,0,7,0,0,660,51,14,141,115,100,3,166,15,20
Rivierenland,Nijmegen,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Kolpinghuis,0268::SB5,6511 ER,2108,1013,63,3,0,0,1,1031,47,0,0,0,0,0,1079,130,54,223,179,161,6,220,24,16
Rivierenland,Nijmegen,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Filmhuis O42,0268::SB6,6511 NW,1666,683,28,1,0,0,0,682,30,0,0,0,0,0,712,55,31,143,126,134,3,172,12,7
Rivierenland,Nijmegen,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Wijkcentrum Burghardt,0268::SB7,6512 DR,1197,1187,74,4,0,6,0,1204,67,0,0,6,0,0,1271,101,54,333,215,120,8,308,30,18
Rivierenland,Nijmegen,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Cordium Centrum voor groei en ontwikkeling,0268::SB8,6512 GB,2089,978,19,3,0,1,1,933,67,0,0,1,0,0,1001,52,30,300,210,72,2,269,20,23
Rivierenland,Nijmegen,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Parochiehuis Antonius van Paduakerk,0268::SB9,6524 JL,1667,636,20,2,0,0,0,624,36,2,0,2,0,0,660,63,29,184,103,81,1,138,22,15
Rivierenland,Nijmegen,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau restaurant Mi Barrio,0268::SB10,6524 JE,1514,832,16,3,0,0,0,804,47,0,0,0,0,0,851,72,38,235,171,100,3,187,13,13
Rivierenland,Nijmegen,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Oud Burgeren Gasthuis,0268::SB11,6524 PJ,1450,1196,53,3,0,5,0,1169,89,1,0,6,0,0,1258,165,46,292,227,142,4,226,33,61
Rivierenland,Nijmegen,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Basisschool Klein Heyendaal,0268::SB12,6524 NP,1541,968,26,0,0,0,1,897,95,0,1,0,1,0,993,113,39,253,205,161,3,139,37,18
