contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),AWP niet politiek wel deskundig,50PLUS,Ouderen Appèl - Hart voor Water
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeentehuis Oss,0828::SB1,5341 GM,1521,1265,44,3,0,5,1,1220,96,0,0,5,0,0,1317,140,406,239,198,81,158,43
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Unit Centraal Station,0828::SB2,,1513,745,29,2,0,0,0,711,57,0,8,0,8,0,768,86,287,128,99,55,70,20
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Wijkcentrum Schadewijk,0828::SB3,5348 XA,1513,896,45,6,0,0,0,855,92,0,0,0,0,0,947,79,247,79,180,55,208,48
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Basisschool De Nieuwe Link,0828::SB4,5348 AH,1513,1117,46,6,0,0,0,1047,122,0,0,0,0,0,1169,139,324,157,190,67,195,45
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau St. Ontmoetingscentrum Meteoor,0828::SB5,5346 RT,1513,751,27,5,0,2,0,700,85,0,0,2,0,0,785,87,230,90,121,45,149,29
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Brabantzorg De Wellen,0828::SB6,5341 AL,1513,719,22,0,0,0,1,678,62,0,0,0,0,0,741,117,196,114,95,46,119,32
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Unit Centrum,0828::SB7,,1513,527,18,1,0,0,0,503,43,0,0,0,0,0,546,54,186,89,69,30,87,12
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Locatie Fitness 4 all,0828::SB8,5351 LP,1513,377,18,2,0,0,0,341,56,0,0,0,0,0,397,61,83,125,35,32,25,16
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Titus Brandsma Parochie,0828::SB9,5342 GC,1513,663,23,1,0,0,0,633,54,0,0,0,0,0,687,79,202,80,121,52,98,31
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau RK Basisschool Pius X,0828::SB10,5342 GH,1513,1054,30,8,0,0,0,986,106,0,0,0,0,0,1092,143,275,273,110,64,156,33
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Het Hooghuis, Mondriaan College",0828::SB11,5342 CN,1513,641,13,1,0,0,0,567,88,0,0,0,0,0,655,98,157,204,67,46,52,17
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Het Hooghuis, locatie ZuidWest",0828::SB12,5343 VC,1513,607,31,2,0,4,0,644,0,0,0,4,0,0,644,56,190,62,144,36,84,35
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau D'n Iemhof,0828::SB13,5344 AN,1513,1299,52,8,0,0,0,1259,100,0,0,0,0,0,1359,161,361,179,244,84,215,55
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau ROC De Leijgraaf,0828::SB14,5344 CS,1513,220,11,0,0,0,0,203,28,0,0,0,0,0,231,21,70,43,40,12,26,8
