contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,"AWPenLRR niet politiek, wel lokaal",Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,ChristenUnie,50PLUS
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Sociaal Cultureel centrum De Wieken,1734::SB1,6661 EA,1635,659,7,0,0,0,1,590,72,0,3,0,0,0,663,158,83,125,74,86,9,60,15,49
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Sportcentrum de Helster,1734::SB2,6661 AW,1602,913,19,4,0,0,0,821,110,0,5,0,5,0,931,245,111,166,102,141,16,59,27,46
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Overbetuwe College,1734::SB3,6661 ZR,2269,778,7,9,0,0,0,726,68,0,0,0,0,0,794,184,88,128,102,66,17,82,20,91
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Ontmoetingsruimte 1 Gymzaal,1734::SB4,6662 DV,2688,1516,23,6,0,0,0,1412,133,0,0,0,0,0,1545,264,220,310,216,191,13,130,51,121
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Verzorgingscentrum Tertzio,1734::SB5,6661 CP,1194,788,8,1,0,0,0,741,56,0,0,0,0,0,797,190,78,178,67,150,8,44,21,52
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Brede School de Kersentuin,1734::SB6,6662 VH,1971,1216,18,7,0,4,0,1116,130,1,0,5,0,0,1246,237,141,246,157,196,10,115,49,65
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Onder de Toren,1734::SB7,6661 DA,1148,709,12,4,0,0,0,660,65,0,0,0,0,0,725,130,93,137,79,125,4,67,18,56
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Het Westeraam,1734::SB8,6661 TZ,2129,861,8,16,0,8,0,755,122,0,8,0,0,0,877,164,74,166,126,164,12,103,25,27
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Zorgcentrum Liefkenshoek, Heteren",1734::SB9,6666 BR,1826,872,17,2,0,0,0,822,69,0,0,0,0,0,891,197,69,132,116,110,26,66,81,75
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Zalencentrum De Bongerd,1734::SB10,6666 CR,2111,1238,17,6,0,0,0,1130,131,0,0,0,0,0,1261,285,99,187,137,214,38,96,85,97
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Cunerahof, Driel",1734::SB11,6665 CS,1797,964,22,1,0,7,1,913,66,0,7,0,0,0,980,221,68,170,120,135,8,97,33,112
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau RKSV Driel,1734::SB12,6665 CB,1565,593,11,0,0,1,0,540,65,0,0,1,0,0,605,116,35,107,67,138,10,48,34,38
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Dorpshuis Randwijks Hof,1734::SB13,6668 AS,1093,685,4,1,2,0,1,615,76,0,0,2,0,0,692,134,39,88,47,46,143,59,93,36
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Verenigingsgebouw de Poort Andelst,1734::SB14,6673 BM,1802,759,10,1,0,0,0,684,86,0,0,0,0,0,770,240,54,84,52,119,62,38,51,59
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau Zorgcentrum De Hoge Hof, Herveld",1734::SB15,6674 BR,1954,1168,15,2,0,1,0,1077,109,0,0,1,0,0,1186,360,63,170,107,172,63,92,62,79
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Dorpshuis de Schakel,1734::SB16,6678 BT,1937,1016,10,5,0,0,0,936,95,0,0,0,0,0,1031,255,61,232,107,130,12,99,31,89
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Verenigingsgebouw Valburg,1734::SB17,6675 BR,1614,938,14,4,0,0,0,871,85,0,0,0,0,0,956,262,55,183,78,151,37,90,32,50
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,"Stembureau De Wanmolen, Zetten",1734::SB18,6671 BR,2141,1358,14,3,0,0,0,1241,134,0,0,0,0,0,1375,228,87,227,139,181,111,122,158,105
Rivierenland,Overbetuwe,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau basisschool Ds. van Lingen,1734::SB19,6671 AN,1879,921,8,4,0,7,0,841,85,0,7,0,0,0,926,200,71,127,105,101,91,52,107,67
