contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,AWP niet politiek wel deskundig,Partij van de Arbeid (P.v.d.A.),CDA,Water Natuurlijk,Partij voor de Dieren,50PLUS,ChristenUnie-SGP,Integer Liberaal,Partij Sociaal Cultureel Centrum (PSCC),11,Waterschapspartij PUUR.
Delfland,Pijnacker-Nootdorp,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Gemeentekantoor Pijnacker,1926::SB1,2641 ED,1533,1192,5,3,0,0,0,1101,99,0,0,0,0,0,1200,231,172,137,177,165,109,78,76,3,2,1,41
Delfland,Pijnacker-Nootdorp,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Sporthal 't Baken,1926::SB2,2641 JN,1562,997,18,6,0,1,0,939,83,0,0,1,0,0,1022,178,172,113,159,136,101,39,58,0,2,3,36
Delfland,Pijnacker-Nootdorp,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Buurt en Zo,1926::SB3,2641 HK,1926,1092,21,4,0,0,0,1026,92,1,0,1,0,0,1118,189,167,121,217,128,93,57,72,4,4,3,37
Delfland,Pijnacker-Nootdorp,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau SWOP St. Welzijn & Ondersteuning Pijnacker-Nootdorp,1926::SB4,2641 DE,2227,1203,25,5,0,2,0,1109,126,0,0,2,0,0,1235,270,150,101,242,156,90,51,88,4,2,4,45
Delfland,Pijnacker-Nootdorp,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Basisschool De Schatkaart,1926::SB5,2641 CA,1903,1216,27,6,0,1,0,1136,112,0,1,0,0,0,1248,176,169,162,195,182,117,86,64,6,7,2,50
Delfland,Pijnacker-Nootdorp,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Ontmoetingskerk,1926::SB6,2642 RA,2121,1332,34,10,0,0,0,1222,154,0,0,0,0,0,1376,274,228,138,177,178,105,74,102,4,3,2,47
Delfland,Pijnacker-Nootdorp,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Mariaschool,1926::SB7,2642 CR,1613,893,14,1,0,3,0,828,83,0,0,3,0,0,911,177,147,109,133,119,94,38,52,4,0,1,19
Delfland,Pijnacker-Nootdorp,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Wijkcentrum Tolhek,1926::SB8,2642 JK,2813,1289,17,5,0,3,0,1313,1,0,0,3,0,0,1314,293,159,160,165,202,106,81,67,5,6,4,41
Delfland,Pijnacker-Nootdorp,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau RK Basisschool De Keizerskroon,1926::SB9,2643 MC,855,369,9,0,0,0,0,324,54,0,0,0,0,0,378,94,36,67,44,47,38,16,7,0,3,1,16
Delfland,Pijnacker-Nootdorp,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Buurtcentrum Het Oude Laarsje,1926::SB10,2641 NS,466,314,4,0,0,0,0,318,0,0,0,0,0,0,318,87,34,14,85,33,17,8,28,2,0,0,6
