contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),ChristenUnie,50PLUS,AWP niet politiek wel deskundig,Hollandse Delta Natuurlijk
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Gemeentehuis,0597::SB1,2981 EA,1177,894,17,5,0,1,0,815,100,0,0,1,0,0,915,245,55,65,96,48,104,79,70,64,68
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Sint Jorisparochie,0597::SB2,2982 PE,1046,396,12,1,0,0,0,378,31,0,0,0,0,0,409,137,30,20,50,26,39,23,40,11,20
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Rehobothschool,0597::SB3,2985 AZ,1100,471,13,2,0,2,0,403,81,0,2,0,0,0,484,85,21,33,28,14,143,74,41,10,22
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Gasterij de Ontmoeting,0597::SB4,2982 BD,1279,876,15,4,0,0,0,809,86,0,0,0,0,0,895,211,78,46,89,39,160,72,97,29,55
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Kantine HV Saturnus,0597::SB5,2982 CM,1263,362,7,2,0,0,0,333,38,0,0,0,0,0,371,96,19,16,40,21,57,37,35,13,28
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Kerk de Levensbron,0597::SB6,2985 BV,1262,754,11,1,0,0,0,677,89,0,0,0,0,0,766,227,60,59,51,27,123,75,53,38,41
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau OBS de Noord,0597::SB7,2985 XB,1453,615,7,7,0,0,0,553,76,0,0,0,0,0,629,165,36,39,78,36,59,43,61,35,63
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau CBS de Wingerd,0597::SB8,2985 BC,1698,1087,14,2,0,0,0,982,119,0,2,0,0,0,1101,298,71,106,85,67,177,98,75,57,53
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Wilhelminakerk,0597::SB9,2983 SH,1602,495,13,1,0,0,0,465,45,1,0,1,0,0,510,136,45,35,36,28,63,52,34,29,37
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau WVC Slikkerveer,0597::SB10,2983 AT,1015,547,12,2,0,0,0,494,67,0,0,0,0,0,561,147,24,58,30,24,89,61,49,23,42
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Muziekvereniging Harmonie Slikkerveer,0597::SB11,2983 CL,1227,875,11,5,0,0,0,810,81,0,0,0,0,0,891,261,59,81,65,54,119,78,63,44,51
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Irenekerk,0597::SB12,2983 GV,1165,792,14,4,0,0,1,808,0,0,1,0,1,0,809,198,50,119,50,37,107,83,47,41,60
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Boezemkerk,0597::SB13,2987 AK,1490,399,15,7,0,0,0,379,40,0,2,0,2,0,419,132,26,30,28,22,31,26,50,17,37
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau WVC Bolnes,0597::SB14,2987 CR,1875,1111,26,5,0,13,0,1048,107,0,0,13,0,0,1155,340,80,122,120,54,78,62,128,48,79
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau De Klinker,0597::SB15,2987 AV,1634,810,19,7,0,0,0,768,68,0,0,0,0,0,836,277,40,63,93,41,44,35,101,44,72
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Kerk Bolnes,0597::SB16,2987 AK,1494,729,12,3,0,0,0,673,71,0,0,0,0,0,744,233,36,74,86,52,46,38,77,31,56
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau De Korenbloem,0597::SB17,2989 AW,539,335,3,2,0,0,0,300,40,0,0,0,0,0,340,86,10,26,17,15,116,28,15,12,10
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Dislocatie de Klimop,0597::SB18,2988 XD,991,594,4,0,0,0,0,531,67,0,0,0,0,0,598,244,43,51,25,23,82,42,24,24,36
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Kerk Rijsoord,0597::SB19,2988 BA,1366,848,7,1,0,0,0,747,109,0,0,0,0,0,856,290,86,91,27,31,145,99,25,21,33
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau CBS de Bongerd,0597::SB20,2986 CA,1552,728,13,3,0,0,0,659,84,0,1,0,1,0,743,226,44,53,101,40,50,55,53,44,62
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Sionskerk,0597::SB21,2984 BW,679,285,6,1,0,0,0,258,34,0,0,0,0,0,292,77,23,35,31,15,41,20,14,10,19
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau WZC Reijerheem,0597::SB22,2986 GB,1086,540,9,4,0,0,0,511,42,0,0,0,0,0,553,171,42,18,86,30,33,45,50,21,44
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Verpleeghuis Salem,0597::SB23,2986 AZ,1164,652,3,0,0,0,0,573,82,0,0,0,0,0,655,158,43,67,59,31,159,52,39,14,30
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 't Ronde Sant,0597::SB24,2984 GK,1664,1045,17,4,0,0,0,922,144,0,0,0,0,0,1066,327,89,119,69,50,68,104,69,64,86
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau OBS de Piramide,0597::SB25,2981 AJ,1161,553,5,2,0,0,0,490,71,0,0,1,0,0,561,143,16,33,56,27,138,49,40,27,24
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Christus is Koningkerk,0597::SB26,2983 HK,1630,751,11,2,0,0,0,685,79,0,0,0,0,0,764,184,52,57,57,37,139,109,52,25,39
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Ichthuskerk,0597::SB27,2986 GH,2911,1380,10,5,0,0,0,1250,148,2,0,3,0,0,1398,447,99,147,138,61,119,112,123,60,74
Hollandse Delta,Ridderkerk,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau Goede Herderkerk,0597::SB28,2982 BT,1287,457,6,3,0,0,0,438,28,0,0,0,0,0,466,100,32,31,37,20,85,59,52,12,29
