contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,AWP niet politiek wel deskundig,Partij van de Arbeid (P.v.d.A.),CDA,Water Natuurlijk,Partij voor de Dieren,50PLUS,ChristenUnie-SGP,Integer Liberaal,Partij Sociaal Cultureel Centrum (PSCC),11,Waterschapspartij PUUR.
Delfland,Rijswijk,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau OBS Nicolaas Beets,0603::SB1,2281 TH,1747,851,16,4,0,0,2,799,70,0,0,0,0,0,871,112,132,158,46,147,127,44,34,6,3,3,39
Delfland,Rijswijk,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Amicitia,0603::SB2,2281 GA,1947,1288,21,6,0,10,0,1173,152,0,0,10,0,0,1325,296,235,200,129,184,134,35,41,6,1,1,26
Delfland,Rijswijk,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Dienstencentrum Het Oude Raadhuis,0603::SB3,2282 AL,1569,775,26,10,0,0,0,745,66,0,0,0,0,0,811,114,145,95,43,113,128,59,24,2,2,6,44
Delfland,Rijswijk,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Wijkcentrum Oud Rijswijk,0603::SB4,2282 RZ,2209,1198,33,3,0,5,1,1137,101,0,0,5,0,0,1239,196,193,176,82,207,151,82,40,3,3,1,64
Delfland,Rijswijk,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Sportcentrum De Schilp,0603::SB5,2285 SP,1690,777,12,5,0,6,1,709,78,0,6,0,0,0,788,164,122,94,64,92,85,99,16,3,3,3,32
Delfland,Rijswijk,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Woonzorgcentrum Vredenburch,0603::SB6,2282 SK,2124,925,27,3,0,8,0,894,69,0,0,8,0,0,963,168,151,103,81,119,129,106,21,2,2,1,42
Delfland,Rijswijk,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau speeltuinvereniging Inter Amicos,0603::SB7,2282 KV,1795,767,15,2,0,0,1,728,55,0,0,0,0,0,784,130,135,118,31,110,112,61,25,3,4,7,31
Delfland,Rijswijk,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Amateurspalet,0603::SB8,2282 HM,1806,745,16,2,0,0,0,708,55,0,0,0,0,0,763,117,124,134,37,94,100,83,27,1,1,3,24
Delfland,Rijswijk,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Gemeentehuis,0603::SB9,2284 DP,698,674,20,2,0,0,0,628,68,0,0,0,0,0,696,126,103,93,44,73,86,83,27,6,5,3,25
Delfland,Rijswijk,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Belvédère Rijswijk,0603::SB10,2283 XM,2072,809,11,4,1,0,0,767,58,0,0,1,0,0,825,111,118,101,63,104,135,96,20,3,3,3,52
Delfland,Rijswijk,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau BS De Piramide (welzijnsruimte),0603::SB11,2283 GX,1387,625,5,3,0,0,0,573,60,0,0,0,0,0,633,134,106,79,65,65,69,48,26,2,0,3,28
Delfland,Rijswijk,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Nieuwe Kerk,0603::SB12,2284 EH,2314,1025,27,2,0,0,0,986,68,0,0,0,0,0,1054,167,162,139,86,90,106,192,33,3,5,5,37
Delfland,Rijswijk,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Gebouw Trias,0603::SB13,2284 XL,1111,416,10,1,0,0,0,387,39,0,1,0,1,0,426,48,59,61,37,39,62,62,16,0,5,2,25
Delfland,Rijswijk,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau Woonzorgcentrum Steenvoorde,0603::SB14,2285 CH,1072,454,10,2,0,0,0,421,45,0,0,0,0,0,466,81,77,51,56,37,45,63,21,1,3,0,19
Delfland,Rijswijk,AB2019_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2019,13,Delfland,2019-03-20,Stembureau sportcentrum De Schilp,0603::SB15,2285 SP,1504,927,17,3,0,3,1,884,59,0,3,0,0,0,944,195,144,116,62,117,98,96,33,8,2,3,53
