contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,SGP-ChristenUnie,50PLUS,AWP niet politiek wel deskundig,Ons-Platteland
Schieland en de Krimpenerwaard,Rotterdam,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Stadhuis,0599::SB1,3011 AD,430,579,24,7,0,0,1,552,57,0,0,0,0,0,610,122,193,116,19,20,48,47,14
Schieland en de Krimpenerwaard,Rotterdam,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau BS De Vier Leeuwen,0599::SB2,3031 XH,2895,935,31,19,0,3,0,873,115,0,0,3,0,0,988,149,281,227,49,26,126,54,23
Schieland en de Krimpenerwaard,Rotterdam,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Gymnastieklokaal,0599::SB3,3032 AH,1647,376,15,4,0,0,0,354,41,0,0,0,0,0,395,49,125,103,21,12,32,29,5
Schieland en de Krimpenerwaard,Rotterdam,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Multifunctioneel Centrum De Kristal,0599::SB6,3059 XA,1972,1190,25,6,0,3,0,1064,154,0,3,0,0,0,1218,359,232,138,89,52,202,76,42
Schieland en de Krimpenerwaard,Rotterdam,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Sophiahof,0599::SB7,3038 SX,2022,712,24,9,0,2,0,696,51,0,0,2,0,0,747,89,263,169,29,37,64,37,24
Schieland en de Krimpenerwaard,Rotterdam,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Bergsingelkerk,0599::SB8,3037 GM,1258,1098,33,3,0,0,0,1044,87,0,3,0,3,0,1131,172,442,233,58,51,57,52,33
Schieland en de Krimpenerwaard,Rotterdam,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Volkstuinvereniging De Tochten,0599::SB9,3069 ZD,1958,678,15,2,0,1,0,624,70,0,1,0,0,0,694,156,199,101,50,22,95,40,15
Schieland en de Krimpenerwaard,Rotterdam,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Serviceflat Statenhove,0599::SB11,3039 LH,1404,792,22,6,0,2,0,747,75,0,0,2,0,0,822,136,315,150,46,26,50,58,11
Schieland en de Krimpenerwaard,Rotterdam,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Humanitas Bergweg,0599::SB12,3037 SK,1733,852,19,8,0,0,0,791,88,0,0,0,0,0,879,107,285,207,39,24,103,62,25
Schieland en de Krimpenerwaard,Rotterdam,AB2019_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2019,14,Schieland en de Krimpenerwaard,2019-03-20,Stembureau Humanitas Akropolis,0599::SB14,3054 RL,1083,705,10,11,2,0,0,670,58,0,0,2,0,0,728,182,174,89,66,27,112,35,20
