contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,FNP,Partij van de Arbeid (P.v.d.A.),Lagere Lasten Burger,VVD,ChristenUnie,Partij voor de Dieren,50PLUS
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Het gemeentehuis (Trouwzaal),0090::SB1,9203 RM,1203,1169,20,5,0,0,0,1100,94,0,0,0,0,0,1194,182,220,114,164,100,134,127,68,60
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Wijkcentrum De Utwyk,0090::SB2,9201 XE,1902,1061,21,5,0,0,0,1020,67,0,0,0,0,0,1087,118,161,148,156,124,54,178,58,64
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau SBO school It Heechhôf,0090::SB3,9201 XZ,1719,708,8,0,0,0,0,674,42,0,0,0,0,0,716,84,106,83,88,100,25,125,66,31
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau PCBO Het Anker,0090::SB4,9207 CZ,1026,644,4,1,0,1,0,607,43,0,0,1,0,0,650,92,86,76,91,68,38,114,48,31
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Kantine vv ONB,0090::SB5,9201 KK,1201,883,14,0,0,0,0,824,73,0,0,0,0,0,897,181,123,89,117,65,98,155,30,25
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Wijkcentrum De Kouwe,0090::SB6,9201 TE,2082,747,8,1,0,0,0,697,59,0,0,0,0,0,756,68,95,117,112,121,26,82,51,75
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Chr.Ger. Kerk,0090::SB7,9203 AN,1890,851,14,1,0,0,1,791,74,0,0,0,0,0,866,108,106,106,131,89,50,140,70,51
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Basisschool Eben Haëzer,0090::SB8,9202 AN,1324,562,5,4,0,0,0,531,40,0,0,0,0,0,571,61,62,70,96,74,15,115,40,29
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Wijk- en Zorgcentrum De Wiken,0090::SB9,9202 CA,1826,853,0,0,0,0,0,785,68,0,0,0,0,0,853,98,110,83,144,124,32,134,75,53
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Sportcentrum Drachten,0090::SB10,9202 LC,1797,910,17,2,0,1,0,864,66,0,0,1,0,0,930,110,122,97,115,118,46,198,52,52
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau OSG Singelland - ISK,0090::SB11,9202 LM,1781,870,12,2,0,0,0,826,58,0,0,0,0,0,884,94,134,95,150,128,35,126,57,51
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Verzorgingscentrum Rispinge,0090::SB12,9203 ZG,1949,947,9,5,0,0,0,883,78,0,0,0,0,0,961,129,117,113,167,107,49,153,59,53
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Verzorgingscentrum De Warrenhove,0090::SB13,9203 HT,1403,736,7,2,0,0,0,684,61,0,0,0,0,0,745,144,91,76,127,54,54,126,39,25
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Buurthuis De Skûle,0090::SB14,9203 ND,1626,1087,8,4,0,0,0,1017,82,0,0,0,0,0,1099,155,214,84,147,109,119,156,64,39
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau MOS - Brede School De Drait (A),0090::SB15,9204 JT,1187,722,8,4,0,0,1,678,55,0,0,0,0,0,734,101,145,59,127,59,62,98,52,19
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau MOS - Brede School De Drait (B),0090::SB16,9204 JT,923,972,0,32,0,0,0,927,77,0,0,0,0,0,1004,123,176,83,156,98,74,150,57,55
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Tienersoos Place 2 B (Dr.vaart),0090::SB17,9204 LM,1753,941,14,5,0,0,0,865,95,0,0,0,0,0,960,107,168,96,119,81,187,109,51,23
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Wijkcentrum De Skammel,0090::SB18,9205 DE,1718,882,14,4,0,0,0,833,67,0,0,0,0,0,900,79,132,108,154,111,56,138,66,38
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Basisschool 't Tweespan,0090::SB19,9205 BN,1977,1033,10,2,0,0,0,948,97,0,0,0,0,0,1045,118,179,88,195,69,100,151,87,46
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Dorpshuis 't Bynt Boornbergum,0090::SB20,9212 PK,1439,898,3,1,0,0,0,842,60,0,0,0,0,0,902,129,134,136,107,67,76,162,55,32
Fryslân,Smallingerland,AB2019_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2019,2,Fryslân,2019-03-20,Stembureau Lokaliteit De Nije Kompe Dr.comp.,0090::SB21,9222 NA,933,574,8,2,0,0,0,528,56,0,0,0,0,0,584,124,78,102,62,60,28,77,31,12
