contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Partij voor de Dieren,Waterschap@inwonersbelangen,ChristenUnie,"AWP niet politiek, wel deskundig",Staatkundig Gereformeerde Partij (SGP),50PLUS
De Stichtse Rijnlanden,Stichtse Vecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Gemeentekantoor,1904::SB1,3601 GR,1141,40,0,0,0,1,4,34,3,0,0,1,0,0,41,6,8,6,5,3,4,2,4,1,1
De Stichtse Rijnlanden,Stichtse Vecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau De Vondel,1904::SB2,3601 EX,1408,12,0,0,0,3,0,14,1,0,0,3,0,0,15,1,1,3,3,0,1,2,0,0,1
De Stichtse Rijnlanden,Stichtse Vecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Basisschool De Klaroen,1904::SB3,3601 TJ,1687,7,0,0,0,0,0,7,0,0,0,0,0,0,7,1,2,1,0,2,0,1,0,0,0
De Stichtse Rijnlanden,Stichtse Vecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau KBS De Pionier,1904::SB4,3601 BM,1638,20,0,0,0,0,0,15,5,0,0,0,0,0,20,4,9,2,1,0,0,3,0,0,1
De Stichtse Rijnlanden,Stichtse Vecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Basisschool 't Palet (Buitenweg),1904::SB5,3602 ZK,999,8,0,0,0,0,0,7,1,0,0,0,0,0,8,0,6,0,1,0,1,0,0,0,0
De Stichtse Rijnlanden,Stichtse Vecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Restaurant Belle,1904::SB6,3611 AE,1324,613,13,1,0,0,0,551,76,0,0,0,0,0,627,146,194,65,45,66,10,27,33,13,14
De Stichtse Rijnlanden,Stichtse Vecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Dorpshuis De Veenkluit,1904::SB7,3612 BH,1439,5,0,0,0,0,0,5,0,0,0,0,0,0,5,1,3,0,0,0,1,0,0,0,0
De Stichtse Rijnlanden,Stichtse Vecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Basisschool Het Kompas,1904::SB8,3603 AZ,1404,17,1,0,0,2,0,12,4,0,2,0,0,0,16,7,3,1,1,2,1,2,0,0,0
De Stichtse Rijnlanden,Stichtse Vecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau WereldKidz Palet,1904::SB9,3603 CN,1661,23,0,0,0,0,0,17,6,0,0,0,0,0,23,7,6,0,3,0,3,1,2,0,1
De Stichtse Rijnlanden,Stichtse Vecht,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau KBS De Wilde Wingerd,1904::SB10,3608 TK,1312,701,12,1,0,1,0,666,47,0,1,0,0,0,713,179,72,47,82,104,44,43,35,5,90
