contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Waterbelang Venlo,Waterbelang Midden-Limburg,Waterbelang Heuvelland,Waterbelang Land van Weert + Leudal,Waterbelang Westelijke Mijnstreek,AWP niet politiek wel deskundig,Waterbelang Venray en Maasduinen,Waterbelang Horst-Helden-Beesel,Waterbelang Parkstad,Water Natuurlijk,Lokaal Limburg,Waterbelang Maastricht,50PLUS
Limburg,Valkenburg aan de Geul,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Stadhuis Park Dersaborg,0994::SB1,6301 HC,1433,728,35,5,0,0,2,682,84,0,0,0,0,0,768,63,4,6,443,6,13,7,0,2,22,61,43,20,38
Limburg,Valkenburg aan de Geul,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau De Polfermolen,0994::SB2,6301 GM,1237,485,21,3,0,0,0,458,51,0,0,0,0,0,509,53,3,3,298,2,5,20,2,0,14,34,19,16,16
Limburg,Valkenburg aan de Geul,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Grand Hotel Voncken,0994::SB3,6301 DC,1412,631,30,12,0,0,0,592,81,0,0,0,0,0,673,53,1,6,460,1,4,16,1,0,11,34,12,13,19
Limburg,Valkenburg aan de Geul,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Hotel Op de Boud,0994::SB4,6301 XX,1479,688,19,2,0,0,1,610,98,0,0,0,0,0,709,63,4,4,431,0,22,20,0,1,18,56,26,20,23
Limburg,Valkenburg aan de Geul,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeenschapshuis De Beemde,0994::SB5,6301 WJ,1211,608,20,5,0,0,0,568,65,0,0,0,0,0,633,40,1,9,415,3,3,15,0,0,14,50,16,12,30
Limburg,Valkenburg aan de Geul,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeenschapshuis De Blokhut,0994::SB6,6301 AT,1048,566,15,2,0,0,0,583,0,0,0,0,0,0,583,43,1,1,380,1,6,12,0,0,15,65,16,13,13
Limburg,Valkenburg aan de Geul,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau De Holle Eik,0994::SB7,6301 JZ,1264,658,18,2,0,0,0,595,83,0,0,0,0,0,678,48,1,2,411,2,16,19,1,1,9,72,19,22,35
Limburg,Valkenburg aan de Geul,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeenschapshuis 't Geboew,0994::SB8,6305 AZ,1433,810,25,6,0,0,0,753,87,1,1,0,0,0,840,56,0,2,598,2,4,13,2,0,19,67,27,4,16
Limburg,Valkenburg aan de Geul,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeenschapshuis 't Voske,0994::SB9,6325 EC,1870,1027,34,4,0,4,0,957,112,0,0,4,0,0,1069,75,3,3,754,3,7,15,0,2,4,70,26,39,26
Limburg,Valkenburg aan de Geul,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Zorgcentrum Fonterhof,0994::SB10,6325 BR,1026,540,19,4,0,0,0,502,61,0,0,0,0,0,563,32,6,6,400,0,4,13,0,0,0,34,12,16,17
Limburg,Valkenburg aan de Geul,AB2019_Limburg,Algemeen bestuur van het waterschap Limburg 2019,25,Limburg,2019-03-20,Stembureau Gemeenschapshuis Cascade Vilt,0994::SB11,6325 AX,745,373,23,1,0,0,0,353,44,0,0,0,0,0,397,25,2,2,258,1,4,7,0,0,11,26,14,13,10
