contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),AWP niet politiek wel deskundig,Partij voor de Dieren,ChristenUnie-SGP,50PLUS,Trots op Nederland (TROTS)
Rijnland,Velsen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Gemeentehuis,0453::SB1,1971 EN,1595,957,26,3,0,0,0,924,65,0,0,3,0,0,989,138,67,136,157,81,168,55,129,26
Rijnland,Velsen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Woon en zorgcentrum Huis ter Hagen,0453::SB2,1985 CV,1245,770,13,3,0,0,2,721,63,0,0,0,0,0,786,195,129,105,117,62,71,42,44,5
Rijnland,Velsen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Basisschool De Toermalijn,0453::SB3,1985 HB,1253,905,13,2,0,0,0,870,51,0,0,1,0,0,921,245,98,151,153,75,102,35,37,9
Rijnland,Velsen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Voormalig Raadhuis,0453::SB4,1981 BC,1589,842,9,3,0,0,0,777,77,0,0,0,0,0,854,225,102,111,130,81,82,53,56,2
Rijnland,Velsen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau gem zaal Roos en Beek appartementencomlex,0453::SB10,2071 SM,1958,1361,22,1,0,0,1,1255,124,0,4,0,0,0,1380,255,187,210,224,119,192,74,88,12
Rijnland,Velsen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Cafe Zaal De Wildeman,0453::SB11,2071 EL,1904,1320,27,4,0,0,0,1238,115,0,0,2,0,0,1353,284,204,195,187,112,159,56,90,33
Rijnland,Velsen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,"Stembureau Bosbeekschool, ingang schoolplein",0453::SB13,2071 AW,1952,1009,20,2,0,0,0,928,103,0,0,0,0,0,1031,237,96,156,184,79,136,61,53,7
Rijnland,Velsen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau 't Brederode Huys,0453::SB14,2082 GE,1507,1236,23,2,0,0,0,1200,62,0,0,1,0,0,1262,387,143,165,177,86,170,42,58,8
Rijnland,Velsen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Basisschool Het Anker,0453::SB15,1991 BZ,1885,953,16,4,0,0,0,893,81,0,0,10,0,0,974,167,118,133,165,83,105,58,102,22
Rijnland,Velsen,AB2019_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2019,12,Rijnland,2019-03-20,Stembureau Brederode Daltonschool,0453::SB16,2082 BD,1102,542,5,0,0,0,0,485,62,0,0,0,0,0,547,144,48,87,84,45,81,23,23,7
