contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,50PLUS,VVD,Staatkundig Gereformeerde Partij (SGP),Water Natuurlijk,Gemeentebelangen Drenthe~Overijssel,ChristenUnie,AWP niet politiek wel deskundig,CDA
Drents Overijsselse Delta,Westerveld,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau RSG Stad en Esch,1701::SB1,7981 BC,1424,794,10,1,0,0,0,805,0,0,0,0,0,0,805,54,159,13,149,103,34,181,101
Drents Overijsselse Delta,Westerveld,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Villa Nova Zorgvlied,1701::SB2,8437 PB,395,247,0,1,0,0,0,217,31,0,0,0,0,0,248,14,49,0,58,61,4,37,24
Drents Overijsselse Delta,Westerveld,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Dorpshuis  Oens Huus,1701::SB3,7983 KL,512,342,4,0,0,0,0,314,32,0,0,0,0,0,346,9,105,3,71,29,10,64,51
Drents Overijsselse Delta,Westerveld,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Ons Dorpshuis,1701::SB4,8384 EE,1422,787,14,3,0,0,0,735,69,0,0,0,0,0,804,58,156,19,154,134,37,141,88
Drents Overijsselse Delta,Westerveld,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Woonzorgcentrum De Weyert,1701::SB5,7991 BN,1375,840,12,2,0,0,0,779,75,0,0,0,0,0,854,73,112,6,160,136,28,109,216
Drents Overijsselse Delta,Westerveld,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Buurthuis De Gowe,1701::SB6,7991 TD,758,463,0,4,0,0,0,426,41,0,0,0,0,0,467,14,74,4,115,31,25,65,135
Drents Overijsselse Delta,Westerveld,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Hotel  De Börken,1701::SB7,7991 PJ,416,317,4,0,0,0,0,285,36,0,0,0,0,0,321,13,61,2,88,37,4,37,75
Drents Overijsselse Delta,Westerveld,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Dorpshuis  De Veldkei,1701::SB8,7971 BX,1099,702,16,4,0,1,0,677,46,0,0,1,0,0,723,69,158,14,109,154,21,121,56
Drents Overijsselse Delta,Westerveld,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Dorpshuis  De Wiekslag,1701::SB9,8351 HR,649,394,17,0,0,0,0,373,38,0,0,0,0,0,411,28,81,2,65,54,21,89,54
Drents Overijsselse Delta,Westerveld,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Dorpshuis  De Vlasbarg'n,1701::SB10,7975 BX,1184,738,4,1,0,0,0,689,54,0,0,0,0,0,743,58,124,8,116,94,20,248,70
