contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Partij voor de Dieren,Waterschap@inwonersbelangen,ChristenUnie,"AWP niet politiek, wel deskundig",Staatkundig Gereformeerde Partij (SGP),50PLUS
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau Huis van de Gemeente,0352::SB1,3962 CL,1939,1593,47,6,0,0,5,1478,163,0,0,0,0,0,1646,491,238,179,136,161,57,47,150,45,89
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau E en E Gasthuis,0352::SB2,3961 CR,1625,606,5,15,0,0,0,580,44,0,2,0,2,0,624,179,48,104,69,47,29,29,33,10,58
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau Basisschool De Werkschuit,0352::SB3,3962 JD,1810,1129,22,0,0,1,0,1071,81,0,0,1,0,0,1152,331,154,112,128,110,56,53,96,19,70
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau Revius Lyceum,0352::SB4,3962 KT,2612,1225,13,7,0,0,0,1113,132,0,0,0,0,0,1245,314,260,164,87,98,59,63,71,23,86
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau Basisschool De Wegwijzer,0352::SB5,3962 AD,2109,1039,13,5,0,1,1,971,86,0,0,1,0,0,1058,344,137,133,92,87,49,58,59,13,67
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau Basisschool De Horn,0352::SB6,3961 KE,1503,663,13,3,0,0,0,607,72,0,0,0,0,0,679,194,96,73,73,61,29,30,56,14,37
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau Brede school Het Anker,0352::SB7,3961 KC,1478,881,10,5,0,1,0,801,94,0,1,0,0,0,895,279,127,87,80,82,49,50,53,16,58
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau Basisschool De Regenboog,0352::SB8,3961 LA,1511,992,21,4,0,0,0,907,110,0,0,0,0,0,1017,269,138,161,78,72,49,47,73,48,57
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau 't Dorpshuys van Cothen,0352::SB11,3945 CB,2567,1473,19,7,0,0,1,1355,143,0,0,0,0,0,1499,289,234,331,95,114,75,51,70,126,88
De Stichtse Rijnlanden,Wijk bij Duurstede,AB2019_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2019,9,De Stichtse Rijnlanden,2019-03-20,Stembureau Stembureau Dorpshuis Langbroek,0352::SB12,3947 PG,1820,1122,8,6,0,0,0,996,140,0,0,0,0,0,1136,166,142,103,42,56,32,106,53,385,37
