contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,"AWPenLRR niet politiek, wel lokaal",Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,ChristenUnie,50PLUS
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Stadhuis,0297::SB1,5301 AL,1575,949,21,5,0,0,0,899,76,0,0,0,0,0,975,167,85,193,148,154,12,113,22,55
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Brede school de Waluwe cult café,0297::SB2,5301 RT,1409,863,17,5,0,2,0,800,87,0,0,2,0,0,887,158,76,145,144,142,16,72,28,82
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Brandweerkazerne,0297::SB3,5301 HK,1409,612,6,2,0,0,0,565,55,0,0,0,0,0,620,105,42,96,118,87,18,46,34,66
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau De Grote Aak,0297::SB4,5301 GX,1249,767,4,4,0,1,0,699,75,0,1,0,0,0,774,148,59,145,130,93,15,81,24,72
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Brede school  'de Zandkampen',0297::SB5,5301 WE,1127,693,7,3,1,0,0,639,63,0,1,0,0,0,702,120,54,157,116,66,10,72,40,58
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Wijkcentrum de Schans,0297::SB6,5301 JK,995,703,12,5,0,1,0,661,60,0,0,1,0,0,721,155,64,118,100,99,18,61,34,54
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Dorpshuis Kerkwijk,0297::SB7,5315 AL,792,450,1,1,0,0,1,394,57,0,0,0,0,0,452,117,18,30,27,66,97,21,41,33
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Eben Haëzer Bruchem,0297::SB8,5314 AX,1301,805,7,1,0,0,0,711,102,0,0,0,0,0,813,216,34,54,44,82,142,37,153,43
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Zorgcentrum  't Slot,0297::SB9,5311 CM,1266,882,16,6,1,0,0,773,132,0,0,1,0,0,905,181,24,65,49,111,288,44,89,31
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Ons Trefpunt,0297::SB10,5313 AP,622,369,3,0,0,0,0,325,47,0,0,0,0,0,372,67,12,30,21,37,146,13,30,13
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Dorpshuis de Gaarde,0297::SB11,5317 JS,1226,810,3,0,0,1,1,699,114,0,0,1,0,0,814,109,11,27,11,67,458,8,76,43
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Huis Brakel,0297::SB12,5306 BC,1171,535,2,3,0,0,0,465,73,0,2,0,2,0,538,113,16,33,30,58,181,14,65,25
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau De Wilhelminahof,0297::SB13,5306 XA,1312,746,8,3,0,0,0,667,90,0,0,0,0,0,757,131,37,37,46,59,225,33,122,56
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Dorpshuis Podarwic,0297::SB14,5307 HA,763,523,2,2,0,0,0,459,68,0,0,0,0,0,527,68,14,20,9,22,313,17,41,19
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Dorpshuis den Ham,0297::SB15,5305 CP,1312,637,5,3,0,1,0,565,81,0,0,1,0,0,646,140,20,75,39,66,165,31,59,42
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Dorpshuis  't Gement,0297::SB16,5308 KB,1658,738,2,3,0,0,0,640,103,0,0,0,0,0,743,127,43,80,39,62,172,40,91,84
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Zalencentrum Gambora,0297::SB17,5311 PC,767,356,5,1,0,0,0,312,50,0,0,0,0,0,362,90,11,27,16,47,115,13,23,14
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau Pand 9,0297::SB18,5301 PA,1376,416,5,3,0,0,1,386,37,0,0,0,0,0,424,82,38,66,54,85,13,38,19,21
Rivierenland,Zaltbommel,AB2019_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2019,15,Rivierenland,2019-03-20,Stembureau De Harmonika,0297::SB19,5301 DA,757,299,7,0,0,1,0,282,23,0,1,0,0,0,305,62,36,45,41,31,20,34,9,21
