"Lijst"	"Totaal"	"Bureau 1"	"Bureau 2"	"Bureau 3"	"Bureau 4"	"Bureau 5"	"Bureau 6"	"Bureau 7"	"Bureau 8"	"Bureau 9"	"Bureau 10"	"Bureau 11"	"Bureau 12"	"Bureau 13"	"Bureau 14"	"Bureau 15"	"Bureau 16"	"Bureau 17"	"Bureau 18"	"Bureau 19"	"Bureau 20"	"Bureau 21"	"Bureau 22"	"Bureau 23"	"Bureau 24"	"Bureau 25"	"Bureau 26"	"Bureau 27"	"Bureau 28"	"Bureau 29"	"Bureau 30"	"Bureau 31"	"Bureau 32"	"Bureau 33"	"Bureau 34"	"Bureau 35"	"Bureau 36"	"Bureau 37"	"Bureau 38"	"Bureau 39"	"Bureau 40"	"Bureau 41"	"Bureau 42"	"Bureau 43"	"Bureau 44"	"Bureau 45"	"Bureau 46"	"Bureau 47"	"Bureau 48"	"Bureau 49"	"Bureau 50"	"Bureau 51"	"Bureau 52"	"Bureau 61"	"Bureau 62"	"Bureau 63"	"Bureau 64"	"Bureau 65"	"Bureau 71"	"Bureau 72"	"Bureau 73"	"Bureau 74"	"Bureau 76"
"VVD"	"15040"	"606"	"256"	"316"	"212"	"87"	"167"	"377"	"225"	"204"	"177"	"167"	"269"	"275"	"254"	"330"	"244"	"414"	"124"	"302"	"312"	"222"	"129"	"292"	"202"	"307"	"300"	"237"	"323"	"233"	"229"	"126"	"226"	"174"	"193"	"137"	"194"	"267"	"226"	"203"	"141"	"202"	"140"	"134"	"259"	"239"	"332"	"183"	"387"	"327"	"173"	"230"	"197"	"443"	"394"	"288"	"172"	"111"	"384"	"172"	"257"	"145"	"192"
"PVDA"	"4933"	"148"	"59"	"91"	"90"	"44"	"63"	"108"	"49"	"82"	"89"	"69"	"116"	"105"	"119"	"101"	"84"	"95"	"42"	"135"	"112"	"90"	"41"	"103"	"69"	"73"	"95"	"52"	"127"	"103"	"90"	"62"	"110"	"69"	"104"	"47"	"79"	"39"	"108"	"114"	"77"	"96"	"69"	"67"	"103"	"84"	"84"	"66"	"105"	"113"	"63"	"59"	"86"	"88"	"81"	"57"	"59"	"17"	"63"	"26"	"44"	"29"	"21"
"PVV"	"7236"	"209"	"77"	"86"	"178"	"107"	"270"	"76"	"91"	"88"	"97"	"110"	"122"	"56"	"124"	"144"	"80"	"86"	"50"	"136"	"196"	"100"	"80"	"56"	"221"	"78"	"93"	"75"	"227"	"150"	"135"	"81"	"235"	"114"	"97"	"131"	"141"	"36"	"179"	"87"	"129"	"163"	"83"	"153"	"167"	"151"	"140"	"161"	"141"	"96"	"56"	"150"	"148"	"141"	"98"	"79"	"99"	"28"	"134"	"37"	"93"	"43"	"47"
"SP"	"5821"	"145"	"37"	"71"	"147"	"64"	"144"	"81"	"60"	"83"	"116"	"106"	"95"	"51"	"167"	"95"	"51"	"84"	"58"	"113"	"140"	"93"	"76"	"51"	"97"	"61"	"76"	"57"	"228"	"138"	"120"	"87"	"179"	"116"	"93"	"135"	"145"	"21"	"154"	"56"	"119"	"148"	"87"	"133"	"130"	"118"	"120"	"123"	"117"	"73"	"41"	"122"	"133"	"69"	"72"	"41"	"57"	"16"	"74"	"22"	"72"	"29"	"14"
"CDA"	"5858"	"140"	"65"	"59"	"98"	"56"	"49"	"121"	"54"	"115"	"69"	"61"	"132"	"74"	"69"	"100"	"88"	"120"	"46"	"141"	"157"	"103"	"65"	"85"	"54"	"98"	"71"	"56"	"158"	"78"	"96"	"51"	"146"	"60"	"76"	"46"	"79"	"62"	"134"	"85"	"63"	"86"	"53"	"59"	"122"	"67"	"114"	"93"	"237"	"142"	"84"	"86"	"95"	"173"	"157"	"173"	"50"	"54"	"121"	"49"	"175"	"54"	"134"
"D66"	"9455"	"448"	"126"	"226"	"182"	"50"	"95"	"227"	"137"	"129"	"124"	"153"	"143"	"166"	"368"	"300"	"186"	"216"	"89"	"231"	"201"	"137"	"69"	"155"	"116"	"132"	"143"	"132"	"218"	"173"	"214"	"112"	"155"	"135"	"163"	"143"	"142"	"116"	"148"	"166"	"129"	"129"	"119"	"83"	"223"	"146"	"186"	"162"	"171"	"190"	"91"	"168"	"125"	"120"	"153"	"104"	"76"	"50"	"156"	"59"	"96"	"77"	"76"
"CU"	"1077"	"29"	"11"	"9"	"20"	"5"	"5"	"15"	"9"	"10"	"13"	"8"	"17"	"19"	"24"	"23"	"13"	"27"	"7"	"20"	"24"	"29"	"8"	"21"	"12"	"23"	"18"	"11"	"31"	"21"	"24"	"8"	"32"	"18"	"12"	"18"	"21"	"9"	"27"	"23"	"26"	"26"	"28"	"16"	"33"	"27"	"34"	"26"	"29"	"21"	"14"	"27"	"23"	"6"	"8"	"10"	"6"	"3"	"14"	"8"	"7"	"3"	"8"
"GROENLIN"	"8686"	"397"	"100"	"210"	"197"	"96"	"107"	"192"	"91"	"129"	"144"	"150"	"102"	"143"	"449"	"279"	"127"	"183"	"114"	"211"	"175"	"106"	"99"	"133"	"140"	"100"	"147"	"106"	"255"	"201"	"198"	"126"	"135"	"129"	"151"	"123"	"182"	"62"	"163"	"140"	"159"	"158"	"129"	"109"	"149"	"130"	"139"	"121"	"146"	"123"	"69"	"146"	"165"	"104"	"107"	"80"	"79"	"25"	"86"	"29"	"56"	"46"	"39"
"SGP"	"139"	"2"	"0"	"4"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"2"	"4"	"1"	"0"	"1"	"5"	"1"	"3"	"2"	"2"	"3"	"1"	"2"	"2"	"5"	"5"	"0"	"1"	"5"	"4"	"1"	"1"	"5"	"0"	"3"	"0"	"1"	"3"	"4"	"4"	"0"	"0"	"8"	"3"	"3"	"3"	"1"	"2"	"0"	"6"	"1"	"3"	"4"	"3"	"3"	"3"	"1"	"2"	"10"
"PVDD"	"3242"	"149"	"33"	"93"	"59"	"31"	"59"	"64"	"36"	"40"	"72"	"55"	"24"	"43"	"125"	"85"	"38"	"55"	"42"	"82"	"66"	"45"	"39"	"60"	"75"	"36"	"31"	"26"	"95"	"65"	"74"	"50"	"52"	"56"	"60"	"37"	"59"	"22"	"68"	"34"	"71"	"55"	"61"	"45"	"56"	"64"	"52"	"50"	"53"	"45"	"20"	"66"	"63"	"56"	"45"	"33"	"26"	"24"	"31"	"15"	"24"	"27"	"25"
"50PLUS"	"2245"	"46"	"16"	"15"	"45"	"18"	"36"	"55"	"15"	"53"	"35"	"28"	"48"	"17"	"28"	"26"	"19"	"37"	"19"	"43"	"63"	"52"	"23"	"28"	"47"	"30"	"31"	"22"	"61"	"58"	"38"	"27"	"62"	"23"	"34"	"18"	"51"	"7"	"73"	"27"	"36"	"47"	"32"	"58"	"67"	"45"	"47"	"49"	"49"	"38"	"27"	"68"	"53"	"39"	"32"	"36"	"23"	"19"	"40"	"17"	"26"	"13"	"10"
"OP"	"109"	"2"	"3"	"2"	"0"	"2"	"4"	"1"	"0"	"3"	"0"	"1"	"1"	"1"	"0"	"2"	"4"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"1"	"3"	"1"	"0"	"6"	"9"	"1"	"1"	"2"	"1"	"0"	"1"	"4"	"0"	"2"	"3"	"0"	"2"	"1"	"1"	"3"	"4"	"1"	"3"	"1"	"4"	"0"	"1"	"3"	"3"	"3"	"1"	"3"	"1"	"4"	"1"	"4"	"0"	"0"
"VNL"	"379"	"16"	"5"	"5"	"2"	"2"	"11"	"9"	"4"	"3"	"2"	"5"	"3"	"6"	"10"	"8"	"2"	"6"	"6"	"6"	"9"	"5"	"5"	"8"	"13"	"3"	"13"	"5"	"8"	"12"	"9"	"4"	"3"	"3"	"5"	"4"	"8"	"4"	"7"	"3"	"4"	"7"	"6"	"6"	"9"	"8"	"15"	"6"	"7"	"5"	"5"	"8"	"9"	"7"	"4"	"1"	"3"	"0"	"14"	"1"	"3"	"4"	"5"
"DENK"	"1281"	"12"	"5"	"2"	"190"	"331"	"52"	"1"	"46"	"12"	"17"	"6"	"64"	"2"	"28"	"4"	"1"	"8"	"1"	"4"	"62"	"5"	"104"	"1"	"9"	"7"	"12"	"15"	"84"	"6"	"11"	"21"	"30"	"8"	"4"	"11"	"11"	"0"	"3"	"2"	"15"	"5"	"3"	"12"	"4"	"2"	"5"	"4"	"18"	"5"	"1"	"1"	"2"	"2"	"3"	"2"	"0"	"0"	"3"	"1"	"0"	"0"	"1"
"NIEUWEWE"	"124"	"5"	"1"	"3"	"0"	"2"	"2"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"5"	"6"	"2"	"0"	"2"	"6"	"1"	"3"	"3"	"0"	"1"	"1"	"4"	"4"	"0"	"4"	"1"	"3"	"1"	"1"	"4"	"1"	"1"	"0"	"2"	"7"	"3"	"5"	"4"	"2"	"6"	"1"	"1"	"2"	"4"	"4"	"0"	"7"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"
"FVD"	"1344"	"71"	"25"	"36"	"30"	"5"	"30"	"22"	"17"	"22"	"19"	"18"	"15"	"13"	"34"	"26"	"9"	"25"	"16"	"38"	"29"	"14"	"23"	"23"	"25"	"23"	"19"	"21"	"34"	"36"	"25"	"19"	"23"	"25"	"15"	"11"	"19"	"10"	"33"	"22"	"15"	"29"	"11"	"25"	"24"	"18"	"24"	"26"	"22"	"19"	"19"	"21"	"19"	"37"	"19"	"8"	"17"	"15"	"21"	"8"	"13"	"5"	"9"
"DBB"	"53"	"1"	"2"	"4"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"3"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"3"	"2"	"1"	"0"	"1"	"3"	"2"	"0"	"1"	"0"	"0"	"1"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"1"
"VP"	"22"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"1"
"GP"	"56"	"4"	"1"	"0"	"2"	"0"	"1"	"0"	"4"	"0"	"1"	"0"	"0"	"1"	"6"	"2"	"2"	"0"	"3"	"0"	"2"	"2"	"0"	"0"	"3"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"
"PIRATENP"	"329"	"18"	"7"	"5"	"10"	"4"	"8"	"2"	"6"	"2"	"6"	"1"	"12"	"5"	"8"	"7"	"10"	"3"	"5"	"9"	"8"	"4"	"3"	"1"	"3"	"3"	"9"	"2"	"7"	"11"	"2"	"1"	"6"	"5"	"11"	"7"	"3"	"2"	"9"	"7"	"2"	"7"	"7"	"3"	"3"	"4"	"14"	"5"	"10"	"3"	"3"	"6"	"8"	"3"	"1"	"9"	"3"	"0"	"3"	"0"	"1"	"0"	"2"
"A1"	"138"	"3"	"1"	"2"	"13"	"7"	"2"	"1"	"0"	"1"	"2"	"0"	"5"	"0"	"7"	"1"	"0"	"2"	"2"	"2"	"1"	"0"	"4"	"1"	"2"	"3"	"2"	"0"	"7"	"2"	"4"	"1"	"4"	"2"	"1"	"2"	"4"	"0"	"3"	"2"	"5"	"8"	"2"	"7"	"3"	"4"	"0"	"5"	"2"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"
"NS"	"50"	"4"	"0"	"2"	"2"	"4"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"2"	"1"	"0"	"0"	"3"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"3"	"1"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"
"LIDK"	"91"	"2"	"3"	"0"	"1"	"1"	"2"	"1"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"1"	"1"	"3"	"0"	"3"	"0"	"2"	"2"	"1"	"4"	"2"	"1"	"1"	"0"	"5"	"3"	"1"	"0"	"3"	"1"	"0"	"4"	"1"	"8"	"4"	"0"	"1"	"6"	"1"	"0"	"0"	"2"	"0"	"2"	"1"	"2"	"2"	"0"	"1"	"1"	"2"	"0"	"1"
"VDP"	"12"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"


"Totaal"	"67720"	"2460"	"833"	"1241"	"1479"	"916"	"1109"	"1357"	"847"	"979"	"985"	"945"	"1172"	"979"	"1829"	"1548"	"963"	"1362"	"630"	"1494"	"1564"	"1016"	"778"	"1023"	"1097"	"985"	"1070"	"826"	"1879"	"1315"	"1276"	"782"	"1412"	"946"	"1029"	"880"	"1150"	"657"	"1350"	"987"	"1000"	"1182"	"841"	"929"	"1368"	"1118"	"1322"	"1095"	"1505"	"1212"	"669"	"1178"	"1132"	"1299"	"1182"	"928"	"680"	"366"	"1160"	"449"	"877"	"481"	"597"
"Blanco"	"86"	"1"	"2"	"3"	"2"	"2"	"1"	"1"	"2"	"0"	"2"	"0"	"8"	"1"	"0"	"2"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"2"	"4"	"0"	"0"	"0"	"2"	"5"	"4"	"0"	"1"	"1"	"2"	"0"	"0"	"3"	"0"	"1"	"1"	"2"	"4"	"2"	"0"	"2"	"0"	"3"	"3"	"0"	"3"	"0"	"3"	"0"	"2"	"0"	"0"
"Ongeldig"	"203"	"8"	"0"	"4"	"15"	"14"	"10"	"0"	"2"	"4"	"4"	"1"	"7"	"2"	"7"	"3"	"2"	"5"	"3"	"5"	"3"	"2"	"3"	"1"	"1"	"1"	"0"	"3"	"13"	"6"	"6"	"0"	"5"	"3"	"0"	"7"	"2"	"0"	"5"	"2"	"2"	"4"	"1"	"3"	"2"	"9"	"2"	"4"	"0"	"2"	"2"	"0"	"4"	"1"	"1"	"1"	"1"	"0"	"2"	"1"	"1"	"0"	"1"
"Tot+Bl+Ong"	"68009"	"2469"	"835"	"1248"	"1496"	"932"	"1120"	"1358"	"851"	"983"	"991"	"946"	"1187"	"982"	"1836"	"1553"	"965"	"1367"	"633"	"1501"	"1568"	"1019"	"782"	"1025"	"1099"	"986"	"1070"	"829"	"1894"	"1323"	"1286"	"782"	"1417"	"949"	"1031"	"892"	"1156"	"657"	"1356"	"990"	"1004"	"1186"	"842"	"935"	"1370"	"1128"	"1325"	"1101"	"1509"	"1216"	"671"	"1180"	"1136"	"1303"	"1186"	"929"	"684"	"366"	"1165"	"450"	"880"	"481"	"598"
"Kiesger."	"82901"	"1642"	"1653"	"1509"	"1492"	"1561"	"1467"	"1475"	"1515"	"1619"	"1362"	"1316"	"1425"	"1102"	"1304"	"1371"	"1311"	"1514"	"1227"	"1481"	"1566"	"1525"	"1573"	"1076"	"1679"	"1185"	"1433"	"1088"	"1566"	"1436"	"1480"	"1507"	"1504"	"1139"	"1356"	"1355"	"1434"	"1080"	"1385"	"1390"	"1303"	"1403"	"1291"	"1413"	"1415"	"1480"	"1539"	"1388"	"1385"	"1481"	"1375"	"1545"	"1527"	"1326"	"1214"	"1253"	"862"	"405"	"1319"	"554"	"1034"	"557"	"729"
"Opkomst"	"82.04 %"	"150.37 %"	"50.51 %"	"82.70 %"	"100.27 %"	"59.71 %"	"76.35 %"	"92.07 %"	"56.17 %"	"60.72 %"	"72.76 %"	"71.88 %"	"83.30 %"	"89.11 %"	"140.80 %"	"113.27 %"	"73.61 %"	"90.29 %"	"51.59 %"	"101.35 %"	"100.13 %"	"66.82 %"	"49.71 %"	"95.26 %"	"65.46 %"	"83.21 %"	"74.67 %"	"76.19 %"	"120.95 %"	"92.13 %"	"86.89 %"	"51.89 %"	"94.22 %"	"83.32 %"	"76.03 %"	"65.83 %"	"80.61 %"	"60.83 %"	"97.91 %"	"71.22 %"	"77.05 %"	"84.53 %"	"65.22 %"	"66.17 %"	"96.82 %"	"76.22 %"	"86.09 %"	"79.32 %"	"108.95 %"	"82.11 %"	"48.80 %"	"76.38 %"	"74.39 %"	"98.27 %"	"97.69 %"	"74.14 %"	"79.35 %"	"90.37 %"	"88.32 %"	"81.23 %"	"85.11 %"	"86.36 %"	"82.03 %"
