Nr stembureau;Aanduiding van de politieke groepering;Totaal;Sb 1;Sb 2;Sb 3;Sb 5;Sb 6;Sb 7;Sb 8;Sb 9;Sb 10;Sb 11;Sb 12;Sb 13;Sb 14;Sb 15;Sb 16;Sb 17;Sb 18;Sb 19;Sb 20
1;VVD;2749;307;333;267;228;109;281;83;74;37;166;98;65;82;152;93;94;82;113;85
2;Partij van de Arbeid (P.v.d.A.);635;54;71;68;60;33;62;25;9;14;47;36;20;15;27;19;13;14;29;19
3;PVV (Partij voor de Vrijheid);1652;164;151;104;140;97;230;77;43;37;91;58;50;61;74;34;27;69;82;63
4;SP (Socialistische Partij);1124;96;119;103;136;47;91;45;45;37;55;33;30;30;56;32;26;34;67;42
5;CDA;2459;245;234;269;243;103;261;51;49;24;166;74;58;79;143;74;74;99;126;87
6;Democraten 66 (D66);1026;123;133;100;56;50;82;26;34;16;79;36;30;43;48;48;23;29;41;29
7;ChristenUnie;506;37;30;42;26;33;17;31;15;6;20;4;7;24;8;13;18;63;46;66
8;GROENLINKS;665;76;82;60;38;21;45;24;26;19;42;31;25;17;36;25;20;15;44;19
9;Staatkundig Gereformeerde Partij (SGP);2400;9;10;15;64;183;9;414;9;6;9;15;49;82;20;53;18;459;415;561
10;Partij voor de Dieren;359;35;31;30;20;14;20;15;18;10;40;20;18;12;19;13;9;7;11;17
11;50PLUS;491;40;36;38;45;32;63;23;25;14;29;15;14;16;29;6;7;17;20;22
12;OndernemersPartij;12;1;2;0;0;2;1;1;0;0;1;0;1;1;0;0;0;1;0;1
13;VNL (VoorNederland);58;8;9;4;3;2;5;1;1;1;5;2;6;3;3;1;2;0;1;1
14;DENK;4;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
15;NIEUWE WEGEN;6;0;1;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1
16;Forum voor Democratie;246;32;24;21;19;22;19;7;7;3;13;10;0;9;11;10;11;8;13;7
17;De Burger Beweging;7;0;0;1;0;0;0;0;0;0;2;0;0;1;2;1;0;0;0;0
18;Vrijzinnige Partij;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19;GeenPeil;12;0;5;1;0;1;0;1;0;0;1;0;0;1;1;0;0;1;0;0
20;Piratenpartij;43;3;3;3;5;0;3;1;5;2;5;2;0;1;1;1;0;2;2;4
21;Artikel 1;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1
23;Libertarische Partij (LP);2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
24;Lokaal in de Kamer;10;1;0;3;0;0;1;0;0;0;3;0;0;1;0;0;0;0;1;0
26;StemNL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;
;Aantal op kandidaten uitgebrachte stemmen;14471;1232;1274;1129;1084;750;1193;825;361;227;777;434;373;479;631;423;342;900;1012;1025
;Aantal blanco stemmen;14;2;0;1;0;0;2;1;2;0;1;0;0;2;0;0;0;0;2;1
;Aantal geldige stemmen;14485;1234;1274;1130;1084;750;1195;826;363;227;778;434;373;481;631;423;342;900;1014;1026
;Aantal ongeldige stemmen;25;2;4;4;2;1;1;1;1;0;0;1;0;2;1;1;0;1;1;2
;Aantal kiezers;14510;1236;1278;1134;1086;751;1196;827;364;227;778;435;373;483;632;424;342;901;1015;1028
;Aantal opgeroepen kiezers;17270;1402;1276;1643;1337;906;1528;968;445;305;935;523;476;537;770;484;407;1035;1095;1198
;Opkomstpercentage;84,02%;88,16%;100,16%;69,02%;81,23%;82,89%;78,27%;85,43%;81,80%;74,43%;83,21%;83,17%;78,36%;89,94%;82,08%;87,60%;84,03%;87,05%;92,69%;85,81%
