LijstNr,Aanduiding van de politieke groepering,Nr,Naam op de lijst,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11
"1,VVD,1,""Rutte, M. (Mark) (m)"",1806,204,161,130,218,161,156,190,166,131,74,215"
",,2,""Hennis - Plasschaert, J.A. (Jeanine) (v)"",80,8,5,16,12,6,4,7,3,4,5,10"
",,3,""Zijlstra, H. (Halbe) (m)"",17,1,0,1,1,1,0,1,2,5,2,3"
",,4,""van Ark, T. (Tamara) (v)"",9,0,1,5,1,0,0,0,1,1,0,0"
",,5,""Dijkhoff, K.H.D.M. (Klaas) (m)"",85,15,6,0,14,5,5,12,6,11,3,8"
",,6,""Dekker, S. (Sander) (m)"",1,0,0,0,0,0,1,0,0,0,0,0"
",,7,""Visser, B. (Barbara) (v)"",4,0,1,0,0,2,0,1,0,0,0,0"
",,8,""Harbers, M.G.J. (Mark) (m)"",2,0,0,0,0,0,0,0,1,1,0,0"
",,9,""ten Broeke, J.H. (Han) (m)"",1,0,0,0,0,1,0,0,0,0,0,0"
",,10,""Azmani, M. (Malik) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,11,""Wiersma, A.D. (Dennis) (m)"",1,0,0,0,0,0,1,0,0,0,0,0"
",,12,""Lodders, W.J.H. (Helma) (v)"",2,0,0,0,0,1,0,1,0,0,0,0"
",,13,""van 't Wout, B. (Bas) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,14,""Becker, B. (Bente) (v)"",3,0,0,0,1,1,0,0,0,1,0,0"
",,15,""Duisenberg, P.J. (Pieter) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""Hermans, S.T.M. (Sophie) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,17,""Mulder, A. (Anne) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,18,""de Vries, A. (Aukje) (v)"",1,0,0,0,0,0,0,1,0,0,0,0"
",,19,""Yeşilgöz - Zegerius, D. (Dilan) (v)"",1,0,0,0,1,0,0,0,0,0,0,0"
",,20,""Rutte, A.C.L. (Arno) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,21,""Tellegen, O.C. (Ockje) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,22,""Koerhuis, D.A.N. (Daniel) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,23,""Ziengs, E. (Erik) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,24,""Bosman, A. (André) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,25,""van den Bosch, A. (Albert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,26,""El Yassini, Z. (Zohair) (m)"",1,0,0,0,0,0,0,1,0,0,0,0"
",,27,""Dijkstra, R.J. (Remco) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,28,""Wörsdörfer, M. (Martin) (m)"",1,0,0,0,0,0,0,0,1,0,0,0"
",,29,""Weverling, A. (Arne) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,30,""Nijkerken - de Haan, C.N.A. (Chantal) (v)"",5,2,0,0,0,0,0,3,0,0,0,0"
",,31,""Potters, S.C.C.M. (Sjoerd) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,32,""van Oosten, F. (Foort) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,33,""Koopmans, S.M.G. (Sven) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,34,""Middendorp, J. (Jan) (m)"",3,0,0,0,0,0,0,1,0,1,1,0"
",,35,""van der Linde, R.E. (Roald) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,36,""van Keulen, J.M. (Joost) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,37,""Laan - Geselschap, A.J.M. (Antoinette) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,38,""Tielen, J.Z.C.M. (Judith) (v)"",1,0,0,1,0,0,0,0,0,0,0,0"
",,39,""Veldman, H.S. (Hayke) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,40,""Heerema, R.J. (Rudmer) (m)"",1,0,0,0,0,0,0,0,0,0,0,1"
",,41,""van Haga, W.R. (Wybren) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,42,""de Lange, L.A. (Leendert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,43,""van Gent, T. (Tobias) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,44,""de Veth, A.A. (Jeroen) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,45,""Van Wijngaarden, J. (Jeroen) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,46,""Aartsen, A.A. (Thierry) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,47,""Regterschot, K. (Kelly) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,48,""Smals, B.M.G. (Bart) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,49,""Pauwels - Paauw, M.S. (Mirjam) (v)"",1,0,0,0,0,1,0,0,0,0,0,0"
",,50,""Bolkestein, M.N. (Martijn) (m)"",1,0,0,0,1,0,0,0,0,0,0,0"
",,51,""Snoeren, M.A.J. (Mark) (m)"",3,0,2,0,0,0,0,0,1,0,0,0"
",,52,""Heemskerk, J.J. (Jacco) (m)"",1,1,0,0,0,0,0,0,0,0,0,0"
",,53,""Tönjann - Levert, W.E. (Wendelien) (v)"",1,0,0,0,0,0,0,0,1,0,0,0"
",,54,""van Rijn, R.K. (Robert) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,55,""de Reus, J. (Jan) (m)"",1,0,0,0,0,1,0,0,0,0,0,0"
",,56,""Dral, R.M. (Rosemarijn) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,57,""Korting, I.A. (Irene) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,58,""Arends - Drijver, K. (Kathy) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,59,""Lock, K.P. (Krijn) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,60,""Hoekstra, F. (Falco) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,61,""van Schie, A.G. (André) (m)"",1,0,0,0,0,1,0,0,0,0,0,0"
",,62,""Struijlaart, E. (Erik) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,63,""Haseloop - Amsing, T.H. (Tanja) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,64,""Jacobs, B. (Barry) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,65,""Elbertsen, J. (Jenny) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,66,""van Dijk, S. (Saskia) (v)"",2,0,1,0,0,0,1,0,0,0,0,0"
",,67,""Mos, J. (Jasper) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,68,""Böcker, B.M. (Linda) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,69,""de Rijk, R.H. (Roeland) (m)"",1,0,0,0,0,1,0,0,0,0,0,0"
",,70,""Welter, Y. (Yvonne) (v)"",2,0,0,0,0,1,1,0,0,0,0,0"
",,71,""Derks, N.G. (Nick) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,72,""Joziasse, M. (Miranda) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,73,""Bevers, H. (Harry) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,74,""Prins, A.J. (Anja) (v)"",1,1,0,0,0,0,0,0,0,0,0,0"
",,75,""Huisman - Peelen, H. (Hennie) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,76,""Bonnevits - de Jong, L. (Laurine) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,77,""Lochtenberg, D.S.K. (Dylan) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,78,""Larson, C.R. (Crys) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,79,""Zevenbergen, E.F.A. (Frederik) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,80,""van der Weijden, M. (Maarten) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
"2,Partij van de Arbeid (P.v.d.A.),1,""Asscher, L.F. (Lodewijk) (m)"",103,11,6,8,10,15,19,5,3,13,3,10"
",,2,""Arib, K. (Khadija) (v)"",14,2,0,0,3,5,1,0,1,1,0,1"
",,3,""Dijsselbloem, J.R.V.A. (Jeroen) (m)"",21,2,2,1,3,3,3,2,0,1,1,3"
",,4,""Dijksma, S.A.M. (Sharon) (v)"",7,0,1,0,0,4,0,0,0,0,1,1"
",,5,""van Dijk, G.J. (Gijs) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,6,""Kuiken, A.H. (Attje) (v)"",2,0,0,0,0,0,0,1,0,0,1,0"
",,7,""Nijboer, H. (Henk) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,8,""van den Hul, K.A.E. (Kirsten) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,9,""Moorlag, W.J. (William) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,10,""Ploumen, E.M.J. (Lilianne) (v)"",5,0,2,0,2,0,0,0,0,1,0,0"
",,11,""Kerstens, J.W.M. (John) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,12,""de Kock, J.C.M. (Joke) (v)"",1,0,0,1,0,0,0,0,0,0,0,0"
",,13,""Marcouch, A. (Ahmed) (m)"",1,0,0,1,0,0,0,0,0,0,0,0"
",,14,""Volp, M.J. (Marith) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,15,""Moti, R. (Richard) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,16,""Yücel, K. (Keklik) (v)"",3,0,0,0,2,0,0,0,1,0,0,0"
",,17,""Servaes, M. (Michiel) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,18,""Bozkurt, E. (Emine) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,19,""van der Linde, I.M. (Ilco) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,20,""Oosterbaan, C. (Christa) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,21,""Mohandis, M. (Mohammed) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,22,""Ypma, L. (Loes) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,23,""Recourt, J. (Jeroen) (m)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,24,""Maij, M.E. (Marit) (v)"",0,0,0,0,0,0,0,0,0,0,0,0"
",,25,""de Kort, M.V. (Martijn) (m)"",1,0,0,0,0,1,0,0,0,0,0,0"
