LijstNr,Aanduiding van de politieke groepering,Nr,Naam op de lijst,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11,Sb 12,Sb 13,Sb 14,Sb 15,Sb 16,Sb 17,Sb 18
1,VVD,1,"Rutte, M. (Mark) (m)",2950,152,229,122,161,105,277,173,186,181,181,176,279,106,231,46,191,140,14
,,2,"Hennis - Plasschaert, J.A. (Jeanine) (v)",179,12,8,2,9,8,23,10,9,2,12,12,12,9,23,1,12,14,1
,,3,"Zijlstra, H. (Halbe) (m)",24,3,1,1,1,1,1,2,0,1,1,1,5,2,1,0,2,1,0
,,4,"van Ark, T. (Tamara) (v)",9,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,2,1,0
,,5,"Dijkhoff, K.H.D.M. (Klaas) (m)",159,13,11,7,9,7,19,9,11,5,12,9,14,4,7,2,12,6,2
,,6,"Dekker, S. (Sander) (m)",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
,,7,"Visser, B. (Barbara) (v)",6,1,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
,,8,"Harbers, M.G.J. (Mark) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,9,"ten Broeke, J.H. (Han) (m)",33,0,4,3,5,0,2,3,4,3,0,2,1,0,2,0,3,1,0
,,10,"Azmani, M. (Malik) (m)",182,8,10,15,8,8,23,16,9,9,11,10,16,10,13,0,11,5,0
,,11,"Wiersma, A.D. (Dennis) (m)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,12,"Lodders, W.J.H. (Helma) (v)",11,0,1,1,0,4,1,1,1,0,1,1,0,0,0,0,0,0,0
,,13,"van 't Wout, B. (Bas) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,14,"Becker, B. (Bente) (v)",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,15,"Duisenberg, P.J. (Pieter) (m)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,16,"Hermans, S.T.M. (Sophie) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,17,"Mulder, A. (Anne) (m)",2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,18,"de Vries, A. (Aukje) (v)",3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
,,19,"Yeşilgöz - Zegerius, D. (Dilan) (v)",3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
,,20,"Rutte, A.C.L. (Arno) (m)",3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
,,21,"Tellegen, O.C. (Ockje) (v)",3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,22,"Koerhuis, D.A.N. (Daniel) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,23,"Ziengs, E. (Erik) (m)",9,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,3,2,0
,,24,"Bosman, A. (André) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,25,"van den Bosch, A. (Albert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,"El Yassini, Z. (Zohair) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,27,"Dijkstra, R.J. (Remco) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,28,"Wörsdörfer, M. (Martin) (m)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,29,"Weverling, A. (Arne) (m)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,30,"Nijkerken - de Haan, C.N.A. (Chantal) (v)",12,1,0,2,1,0,0,1,2,0,0,1,1,3,0,0,0,0,0
,,31,"Potters, S.C.C.M. (Sjoerd) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,32,"van Oosten, F. (Foort) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,33,"Koopmans, S.M.G. (Sven) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,34,"Middendorp, J. (Jan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35,"van der Linde, R.E. (Roald) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,36,"van Keulen, J.M. (Joost) (m)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,37,"Laan - Geselschap, A.J.M. (Antoinette) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,38,"Tielen, J.Z.C.M. (Judith) (v)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
