Nr,Stembureau,Lijstnr 1 ,Lijstnr 2 ,Lijstnr 3 ,Lijstnr 4 ,Lijstnr 5 ,Lijstnr 6 ,Lijstnr 7 ,Lijstnr 8 ,Lijstnr 9 ,Lijstnr 10 ,Lijstnr 11 ,Lijstnr 12 ,Lijstnr 13 ,Lijstnr 14 ,Lijstnr 15 ,Lijstnr 16 ,Lijstnr 17 ,Lijstnr 18 ,Lijstnr 19 ,Lijstnr 20 ,Lijstnr 21 ,Lijstnr 22 ,Lijstnr 23 ,Lijstnr 24 ,Lijstnr 25 ,Lijstnr 26 ,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
1,De Regent,288,64,205,174,191,169,5,104,3,29,75,1,7,38,3,28,0,1,1,2,1,0,0,2,0,1,1392,3,1395,7,1402,1959,"71,57%"
2,De Boodschap,251,75,238,177,133,144,9,88,6,43,68,1,6,97,2,31,1,0,1,2,1,0,0,3,0,0,1377,1,1378,12,1390,1639,"84,81%"
3,Burg. van Mierloschool,237,51,224,157,130,106,7,95,2,28,56,0,5,61,0,27,0,0,0,5,0,0,0,0,0,1,1192,0,1192,0,1192,1492,"79,89%"
4,School De Brakken,437,86,268,234,235,230,8,170,4,53,89,3,8,60,5,32,0,0,3,8,0,1,0,3,2,0,1939,1,1940,3,1943,2232,"87,05%"
5,Sint Jozefschool,375,72,254,231,224,213,14,119,5,32,66,1,3,78,2,41,0,0,1,3,0,2,0,3,0,1,1740,2,1742,7,1749,2222,"78,71%"
6,Hal NS-station,543,87,238,229,245,251,20,183,2,40,54,2,6,86,2,43,1,0,0,9,1,1,0,3,1,0,2047,5,2052,5,2057,2180,"94,36%"
7,Woonstichting Leystromen,214,31,146,84,69,70,6,49,0,13,29,0,3,41,0,20,0,0,0,0,0,0,0,3,0,0,778,0,778,1,779,1005,"77,51%"
8,Zorgcentrum Sint Franciscus,374,64,192,184,287,161,9,94,5,42,104,3,4,1,2,20,0,2,2,3,0,0,0,2,0,0,1555,1,1556,2,1558,1868,"83,40%"
9,Sporthal Achter de Tuintjes,521,63,201,190,330,215,4,102,1,33,64,2,4,2,3,19,0,1,0,4,1,1,1,4,0,0,1766,1,1767,3,1770,1963,"90,17%"
10,Heemkring Molenheide,367,74,240,227,167,176,5,103,0,28,72,1,6,7,7,31,2,0,0,3,0,1,0,4,0,0,1521,3,1524,3,1527,2106,"72,51%"
11,De Molenwiek,237,20,117,76,191,60,3,38,2,20,31,2,6,0,1,16,0,0,0,5,0,0,0,1,0,0,826,0,826,2,828,1004,"82,47%"
12,The Chump,59,7,33,12,54,21,0,16,0,4,6,3,0,1,0,3,0,0,0,1,0,0,0,1,0,0,221,0,221,1,222,288,"77,08%"

,Totaal,3903,694,2356,1975,2256,1816,90,1161,30,365,714,19,58,472,27,311,4,4,8,45,4,6,1,29,3,3,16354,17,16371,46,16417,19958,"82,26 %"
