Nr,Stembureau,Lijstnr 1 ,Lijstnr 2 ,Lijstnr 3 ,Lijstnr 4 ,Lijstnr 5 ,Lijstnr 6 ,Lijstnr 7 ,Lijstnr 8 ,Lijstnr 9 ,Lijstnr 10 ,Lijstnr 11 ,Lijstnr 12 ,Lijstnr 13 ,Lijstnr 14 ,Lijstnr 15 ,Lijstnr 16 ,Lijstnr 17 ,Lijstnr 18 ,Lijstnr 19 ,Lijstnr 20 ,Lijstnr 21 ,Lijstnr 22 ,Lijstnr 23 ,Lijstnr 25 ,Lijstnr 26 ,Uitgebrachte stemmen,Blanco stemmen,Geldige stemmen,Ongeldige stemmen,Aantal kiezers,Aantal opgeroepen,Opkomst percentage
1,Gemeentehuis,499,103,128,81,160,320,29,144,4,41,41,4,4,19,4,29,0,0,0,4,1,0,1,0,0,1616,0,1616,4,1620,1922,84.29%
2,Gebouw Irene,563,139,210,114,264,387,55,178,36,78,50,6,7,18,2,41,0,0,0,2,1,1,0,0,0,2152,5,2157,4,2161,2264,95.45%
3,Winkelcentrum Winkelhof,435,122,224,127,208,263,51,161,22,64,57,0,7,26,3,40,1,0,1,8,2,1,0,0,1,1824,1,1825,9,1834,2037,90.03%
4,Bibliotheek BC+,583,162,228,114,262,409,54,252,46,72,73,1,5,23,5,61,1,0,1,4,1,5,0,2,0,2364,1,2365,9,2374,2137,111.09%
5,Zijlkwartier,355,113,225,127,184,241,41,165,29,49,34,0,6,32,1,34,0,1,1,10,3,0,0,0,0,1651,3,1654,6,1660,2345,70.79%
6,Basisschool De Hobbit,545,135,258,114,241,308,45,192,11,64,48,2,11,41,3,32,1,0,0,11,2,1,1,0,0,2066,2,2068,7,2075,2369,87.59%
7,De Ommedijk,410,133,255,148,211,288,47,142,9,56,94,3,6,45,0,44,0,0,0,6,1,1,0,1,0,1900,4,1904,7,1911,2197,86.98%
8,Basisschool De Schakel,353,114,118,73,177,240,36,96,19,26,25,0,7,6,2,26,0,0,0,4,2,3,0,1,0,1328,2,1330,1,1331,1724,77.20%
9,Montessorischool Elckerlyc,288,92,121,115,158,211,29,142,5,44,56,2,2,12,4,43,0,1,2,4,2,0,0,0,0,1333,2,1335,3,1338,1708,78.34%
10,Korfbalvereniging Velocitas,462,106,191,76,136,220,28,109,2,37,48,1,9,17,0,38,0,0,1,4,0,3,0,1,0,1489,0,1489,1,1490,1975,75.44%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Totaal,4493,1219,1958,1089,2001,2887,415,1581,183,531,526,19,64,239,24,388,3,2,6,57,15,15,2,5,1,17723,20,17743,51,17794,20678,86.05%
