"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Maastricht"
"Nummer";"";"0935"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Theater aan het Vrijthof";"Centre Céramique";"Theater aan het Vrijthof";"Muziekschool Kumulus";"Klooster Zusters onder de Bogen";"Gemeenschapshuis De Lètterdoes";"Kumulus West";"Envida locatie Koepelhof";"Envida locatie Larisa, vm.Klevarie";"Centre Céramique";"Regionaal Historisch Centrum Limb.";"Wijkcombinatiegebouw La Bellettsa";"Buurtcentrum Sint Pieter";"Bernard Lievegoed School BO";"Pieterkelderke";"Stichting Moetiara Maloekoe";"Sportcafé Jekerdal";"Envida locatie Croonenhoff";"St. Gerlachus, Mosae Zorggroep";"Bernard Lievegoed School VO";"Campagne, Mosae Zorggroep";"Gemeenschapshuis Aen de Wan";"Basisschool Petrus en Paulus";"Basisschool Anne Frank";"Daalhof, Mosae Zorggroep";"Envida locatie La Valence";"Vm. Basisschool Fons Olterdissen";"Gymzaal Basisschool De Schans";"Buurtcentrum Ut Förtsje";"Basisschool de Kring";"Kindcentrum Dynamiek";"Harmoniezaal Kon. Harmonie Heer";"Buurtcentrum Mariaberg";"Sint Maartenscollege";"Flat, Elisabeth Gruytersstraat";"Nutsschool Maastricht";"Schoolgebouw Elisabeth Strouvenlaan";"Trefcentrum Wittevrouwenveld";"Stichting 't Gilde";"Maris Stella";"Zaaltje St. Annakerk";"Parochiecentrum Amby";"Buurtcentrum De Romein";"Envida locatie De Zeven Bronnen";"Bibliotheeksteunpunt Malpertuis";"Envida locatie Hagerpoort";"De Wiemerink";"Buurtcentrum Nazareth";"Scharwyerveld, Mosae Zorggroep";"Gemeenschapshuis Kap. Lochtmanhuis";"Centre Manjefiek Malberg";"Basisschool  De Maasköpkes";"Centre Manjefiek Malberg";"Sint Martinushoes";"Wijkcentrum De Luibe";"OBS de Perroen";"Buurtcentrum Boschpoort";"AZM, serrehal";"Winkelcentrum Brusselse Poort";"NS Centraal Station";"OBS de Regenboog";"Mob.Stembur. Maasveld/Mondriaan"
"Gebiednummer";"";"";"";"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50";"51";"52";"53";"54";"55";"56";"57";"58";"59";"60";"61";"62"
"";"opgeroepenen";"";"";"89222";"3136";"3201";"0";"1890";"1029";"1443";"1462";"1466";"1086";"0";"1006";"1913";"992";"1382";"1256";"1735";"935";"1552";"1263";"1471";"1114";"1936";"1129";"1654";"2481";"2206";"2667";"1606";"1309";"1604";"1485";"1660";"1251";"1817";"1693";"1503";"2114";"1240";"1237";"1204";"1205";"1263";"1870";"2062";"1666";"1510";"2385";"2525";"1886";"1606";"2861";"1437";"0";"780";"1133";"1424";"1289";"0";"0";"0";"1192";"0"
"";"geldige stempas";"";"";"61224";"1474";"1283";"1370";"1226";"598";"733";"812";"945";"622";"1348";"831";"1049";"887";"975";"889";"923";"640";"1089";"873";"812";"758";"1400";"853";"1176";"1485";"1159";"1525";"1043";"948";"1150";"1124";"1199";"818";"1097";"1045";"740";"982";"997";"870";"574";"623";"981";"971";"1239";"843";"1088";"1232";"1312";"927";"1040";"1080";"969";"958";"520";"853";"918";"886";"1571";"811";"1173";"814";"93"
"";"geldig volmachtbewijs";"";"";"6509";"127";"126";"124";"118";"83";"67";"76";"74";"65";"111";"69";"126";"109";"97";"102";"114";"82";"141";"122";"83";"84";"143";"91";"109";"191";"135";"159";"81";"102";"132";"140";"102";"90";"139";"3";"68";"116";"114";"91";"94";"78";"120";"130";"146";"99";"134";"145";"161";"113";"103";"131";"86";"134";"68";"102";"85";"81";"153";"65";"76";"92";"7"
"";"geldige kiezerspas";"";"";"947";"94";"17";"74";"13";"10";"6";"10";"10";"5";"26";"31";"9";"13";"16";"25";"4";"15";"6";"23";"9";"8";"8";"27";"7";"7";"8";"18";"5";"2";"3";"3";"10";"1";"7";"3";"8";"2";"7";"11";"5";"11";"2";"24";"2";"4";"5";"10";"8";"6";"13";"14";"2";"17";"0";"24";"1";"14";"82";"43";"98";"1";"0"
"";"toegelaten kiezers";"";"";"68680";"1695";"1426";"1568";"1357";"691";"806";"898";"1029";"692";"1485";"931";"1184";"1009";"1088";"1016";"1041";"737";"1236";"1018";"904";"850";"1551";"971";"1292";"1683";"1302";"1702";"1129";"1052";"1285";"1267";"1311";"909";"1243";"1051";"816";"1100";"1118";"972";"673";"712";"1103";"1125";"1387";"946";"1227";"1387";"1481";"1046";"1156";"1225";"1057";"1109";"588";"979";"1004";"981";"1806";"919";"1347";"907";"100"
"";"geldige stembiljetten";"";"";"68269";"1682";"1420";"1557";"1347";"686";"805";"891";"1019";"688";"1475";"922";"1172";"1008";"1084";"1015";"1038";"734";"1229";"1013";"899";"848";"1550";"966";"1288";"1671";"1294";"1688";"1126";"1048";"1278";"1258";"1299";"900";"1242";"1048";"813";"1096";"1112";"967";"666";"702";"1101";"1112";"1382";"940";"1225";"1370";"1476";"1030";"1151";"1208";"1044";"1097";"586";"974";"998";"974";"1799";"911";"1341";"910";"96"
"";"blanco stembiljetten";"";"";"125";"1";"1";"5";"5";"2";"0";"4";"5";"1";"4";"1";"7";"1";"0";"0";"0";"1";"2";"2";"0";"1";"0";"4";"3";"8";"4";"3";"0";"3";"4";"1";"3";"0";"1";"2";"0";"0";"0";"0";"2";"1";"1";"2";"2";"1";"1";"3";"2";"4";"0";"3";"5";"4";"1";"3";"3";"0";"3";"1";"3";"0";"1"
"";"ongeldige stembiljetten";"";"";"246";"12";"4";"6";"5";"3";"1";"3";"4";"3";"5";"7";"5";"0";"3";"1";"3";"2";"1";"3";"4";"1";"1";"1";"1";"4";"3";"4";"3";"1";"3";"7";"6";"9";"1";"2";"1";"4";"6";"5";"5";"8";"1";"7";"2";"5";"1";"11";"3";"12";"4";"12";"6";"5";"1";"2";"3";"7";"3";"5";"2";"0";"3"
"";"aangetroffen stembiljetten";"";"";"68640";"1695";"1425";"1568";"1357";"691";"806";"898";"1028";"692";"1484";"930";"1184";"1009";"1087";"1016";"1041";"737";"1232";"1018";"903";"850";"1551";"971";"1292";"1683";"1301";"1695";"1129";"1052";"1285";"1266";"1308";"909";"1244";"1052";"814";"1100";"1118";"972";"673";"711";"1103";"1121";"1386";"946";"1227";"1384";"1481";"1046";"1155";"1223";"1055";"1106";"588";"979";"1004";"981";"1805";"917";"1346";"910";"100"
"";"meer stembiljetten dan toegelaten kiezers ";"";"";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0"
"";"minder stembiljetten dan toegelaten kiezers ";"";"";"42";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"0";"1";"7";"0";"0";"0";"1";"3";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"4";"1";"0";"0";"0";"0";"0";"1";"2";"2";"3";"0";"0";"0";"0";"1";"2";"1";"0";"0"
"";"kiezers met stembiljet hebben niet gestemd";"";"";"15";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"er zijn te weinig stembiljetten uitgereikt";"";"";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
