"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Pekela"
"Nummer";"";"0765"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"OBS Feiko Clock";"Gemeentehuis";"Brede school De Groenling";"Dollard College (Pekela)";"Dorpshuis De Kiepe";"Zorgcentrum Clockstede";"Dorpshuis de Riggel"
"Gebiednummer";"";"";"";"";"1";"2";"3";"4";"5";"6";"7"
"Postcode";"";"";"";"";"9665 HT";"9665 JD";"9665 HS";"9665 RA";"9663 EG";"9663 CW";"9663 TT"
"";"opgeroepenen";"";"";"9832";"1633";"1775";"1864";"1072";"1415";"1556";"517"
"";"geldige stempas";"";"";"6710";"1125";"1283";"1165";"609";"1161";"972";"395"
"";"geldig volmachtbewijs";"";"";"731";"117";"133";"140";"75";"115";"106";"45"
"";"geldige kiezerspas";"";"";"12";"1";"7";"0";"1";"2";"1";"0"
"";"toegelaten kiezers";"";"";"7453";"1243";"1423";"1305";"685";"1278";"1079";"440"
"";"geldige stembiljetten";"";"";"7402";"1234";"1410";"1296";"681";"1273";"1071";"437"
"";"blanco stembiljetten";"";"";"28";"3";"7";"6";"3";"2";"5";"2"
"";"ongeldige stembiljetten";"";"";"18";"2";"6";"3";"1";"2";"3";"1"
"";"aangetroffen stembiljetten";"";"";"7448";"1239";"1423";"1305";"685";"1277";"1079";"440"
"";"meer stembiljetten dan toegelaten kiezers ";"";"";"0";"0";"0";"0";"0";"0";"0";"0"
"";"minder stembiljetten dan toegelaten kiezers ";"";"";"5";"4";"0";"0";"0";"1";"0";"0"
"";"kiezers met stembiljet hebben niet gestemd";"";"";"0";"0";"0";"0";"0";"0";"0";"0"
"";"er zijn te weinig stembiljetten uitgereikt";"";"";"0";"0";"0";"0";"0";"0";"0";"0"
"";"er zijn te veel stembiljetten uitgereikt";"";"";"0";"0";"0";"0";"0";"0";"0";"0"
"";"er zijn stembiljetten kwijtgeraakt";"";"";"0";"0";"0";"0";"0";"0";"0";"0"
"";"geen verklaring";"";"";"5";"4";"0";"0";"0";"1";"0";"0"
"";"andere verklaring";"";"";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"VVD";"";"";"763";"102";"115";"100";"68";"192";"112";"74"
"";"";"1";"Rutte, M.";"607";"77";"94";"83";"60";"146";"87";"60"
"";"";"2";"Hennis-Plasschaert, J.A.";"36";"7";"3";"6";"1";"14";"2";"3"
"";"";"3";"Zijlstra, H.";"12";"2";"1";"1";"0";"5";"2";"1"
"";"";"4";"van Ark, T.";"1";"0";"0";"0";"0";"1";"0";"0"
"";"";"5";"Dijkhoff, K.H.D.M.";"25";"5";"3";"5";"2";"2";"6";"2"
"";"";"6";"Dekker, S.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"7";"Visser, B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"Harbers, M.G.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"ten Broeke, J.H.";"1";"1";"0";"0";"0";"0";"0";"0"
"";"";"10";"Azmani, M.";"1";"0";"0";"0";"1";"0";"0";"0"
"";"";"11";"Wiersma, A.D.";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"12";"Lodders, W.J.H.";"12";"0";"1";"0";"0";"5";"0";"6"
"";"";"13";"van 't Wout, B.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"Becker, B.";"1";"0";"0";"0";"0";"0";"1";"0"
"";"";"15";"Duisenberg, P.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Hermans, S.T.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Mulder, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"de Vries, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"Ye?ilgöz-Zegerius, D.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"Rutte, A.C.L.";"39";"9";"5";"3";"4";"10";"7";"1"
"";"";"21";"Tellegen, O.C.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Koerhuis, D.A.N.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Ziengs, E.";"3";"0";"1";"0";"0";"1";"1";"0"
"";"";"24";"Bosman, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"van den Bosch, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"El Yassini, Z.";"1";"0";"0";"0";"0";"0";"1";"0"
"";"";"27";"Dijkstra, R.J.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Wörsdörfer, M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Weverling, A.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Nijkerken-de Haan, C.N.A.";"1";"0";"0";"0";"0";"1";"0";"0"
"";"";"31";"Potters, S.C.C.M.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"van Oosten, F.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Koopmans, S.M.G.";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"Middendorp, J.";"0";"0";"0";"0";"0";"0";"0";"0"
